sku_id,product_name,category,wk4_forecast,wk4_actual,wk3_forecast,wk3_actual,wk2_forecast,wk2_actual,wk1_forecast,wk1_actual,avg_mape_pct,bias_direction
THR-1040,Organic Popcorn White Cheddar,Snacks,2226,2146,2029,1901,2143,1890,2099,1940,8.0,Over
THR-1041,Dried Mango Unsweetened,Snacks,1280,1147,1260,1080,1217,124,1215,125,445.4,Over
THR-1042,Roasted Cashews 8oz,Snacks,1080,996,1175,1091,1222,1111,1175,1098,8.3,Over
THR-1043,Grain-Free Crackers Rosemary,Snacks,485,470,506,435,496,422,473,436,11.4,Over
THR-1044,Fruit Leather Strawberry,Snacks,1475,1424,1418,1202,1299,1082,1335,1108,15.5,Over
THR-1045,Veggie Straws Sea Salt,Snacks,181,167,162,129,169,148,171,164,13.1,Over
THR-1046,Mixed Nuts Unsalted 12oz,Snacks,1050,866,1168,994,1267,1039,1215,1097,17.9,Over
THR-1047,Pumpkin Seeds Roasted,Snacks,2549,2308,2711,2509,2890,2414,2499,2279,12.0,Over
THR-1048,Banana Chips Organic,Snacks,691,586,729,689,697,585,727,679,12.5,Over
THR-1049,Pretzels GF Everything,Snacks,2700,2192,2365,2015,2661,2386,2427,1992,18.5,Over
THR-1050,Dark Chocolate 85% Bar,Snacks,1346,1150,1296,1056,1491,1404,1385,1331,12.5,Over
THR-1051,BBQ Chickpea Chips,Snacks,1168,1132,1207,1132,1337,1176,1200,1025,10.1,Over
THR-1052,Organic Granola Clusters 12oz,Snacks,553,485,527,450,599,520,549,531,12.4,Over
THR-1053,Cacao Nibs 8oz,Snacks,2131,1801,2169,1841,2520,2223,2121,1923,14.9,Over
THR-1054,Coconut Jerky Teriyaki,Snacks,1014,974,1132,935,1195,1015,1145,996,14.5,Over
THR-1055,Grain-Free Granola 12oz,Snacks,2255,2135,2002,1870,2060,1975,2099,1971,5.9,Over
THR-1056,Organic Dark Choc Almonds 6oz,Snacks,1273,1090,1345,1162,1388,1315,1400,1176,14.3,Over
THR-1057,Freeze-Dried Fruit Variety 6pk,Snacks,1649,1505,1796,1736,1686,1359,1688,1519,12.1,Over
THR-1058,Organic Trail Mix Bars 6ct,Snacks,547,451,527,508,513,470,546,515,10.0,Over
THR-1059,Organic Dried Cranberries 8oz,Snacks,2106,1910,2499,2422,2418,2112,2119,1923,9.5,Over
THR-1060,Cassava Tortilla Chips 5oz,Snacks,517,426,534,478,562,465,486,460,14.9,Over
THR-1061,Oat Milk Original 32oz,Beverages,2746,3248,2639,2847,2682,2796,2894,3466,10.8,Under
THR-1062,Cold Brew Coffee Concentrate,Beverages,1340,1434,1364,1538,1477,1595,1473,1682,9.4,Under
THR-1063,Organic Green Tea 20ct,Beverages,1326,1569,1312,1402,1319,1407,1166,1250,8.7,Under
THR-1064,Sparkling Water Lime 12pk,Beverages,690,796,624,674,713,755,629,705,9.3,Under
THR-1065,Coconut Water 11oz,Beverages,1717,1986,1565,1642,1767,1862,1768,2079,9.6,Under
THR-1066,Kombucha Ginger Lemon,Beverages,1577,1768,1731,1980,1807,2040,1859,2211,12.7,Under
THR-1067,Protein Shake Vanilla 4pk,Beverages,579,658,558,641,579,607,511,529,8.2,Under
THR-1068,Organic Chai Tea 20ct,Beverages,2220,2490,2174,2507,2301,2626,2279,2585,12.1,Under
THR-1069,Electrolyte Drink Mix Berry,Beverages,1311,1471,1385,1510,1239,1316,1169,1372,10.0,Under
THR-1070,Organic Coffee Whole Bean 12oz,Beverages,2175,2531,1865,2184,2003,2262,2106,2252,11.7,Under
THR-1071,Almond Milk Unsweetened 64oz,Beverages,767,804,777,817,703,818,736,760,6.7,Under
THR-1072,Turmeric Latte Mix,Beverages,1209,1267,1206,1436,1095,1273,1294,1447,11.3,Under
THR-1073,Matcha Powder Ceremonial 2oz,Beverages,2080,2299,2155,2337,1855,1950,2045,2309,8.4,Under
THR-1074,Sparkling Water Grapefruit 12pk,Beverages,1339,1528,1560,1753,1557,1717,1563,1719,10.4,Under
THR-1075,Organic Herbal Tea Chamomile,Beverages,2050,2276,1815,1895,1950,2255,1926,2026,8.2,Under
THR-1076,Sparkling Water Strawberry 12pk,Beverages,383,451,381,455,372,405,370,394,11.4,Under
THR-1077,Organic Decaf Coffee 12oz,Beverages,2223,2609,2293,2680,2142,2440,1896,2252,14.3,Under
THR-1078,Protein Water Citrus 12pk,Beverages,1128,1287,1110,1283,1329,1389,1222,1336,9.7,Under
THR-1079,Turmeric Ginger Shots 6pk,Beverages,1801,1903,2024,2316,1887,2155,1972,2179,10.0,Under
THR-1080,Yerba Mate Mint 12pk,Beverages,1244,1346,1168,1398,1127,1199,1348,1564,11.0,Under
THR-1081,Collagen Coffee Creamer 10oz,Beverages,1103,1240,1205,1313,1141,1319,1151,1275,10.6,Under
THR-1082,Sparkling Probiotic Drink 4pk,Beverages,396,429,464,526,467,554,401,470,12.5,Under
THR-1083,Sparkling Water Peach 12pk,Beverages,1178,1228,1145,1282,1047,1216,1082,1290,11.2,Under
THR-1084,Organic Earl Grey Tea 20ct,Beverages,2848,3019,2913,3245,2903,3365,2734,3245,11.3,Under
THR-1085,Sparkling Water Cucumber 12pk,Beverages,2416,2747,2576,2912,2359,2459,2413,2500,7.8,Under
THR-1086,Organic Frozen Blueberries 10oz,Frozen,1617,1638,1725,1888,1613,1732,1679,1607,5.3,Under
THR-1087,Cauliflower Pizza Crust 2pk,Frozen,1896,1962,1877,1970,2271,2284,2113,2043,3.0,Under
THR-1088,Frozen Acai Packs 4ct,Frozen,1234,1251,1249,1174,1367,1519,1304,1194,6.7,Over
THR-1089,Organic Frozen Broccoli 16oz,Frozen,461,509,435,422,479,515,468,504,6.7,Under
THR-1090,Plant-Based Burger Patties 4ct,Frozen,2203,2343,2135,2391,2118,2014,2407,2411,5.5,Under
THR-1091,Frozen Mango Chunks 16oz,Frozen,2272,2087,2484,2645,2474,2275,2300,2250,6.5,Over
THR-1092,GF Chicken Nuggets 12oz,Frozen,1193,1274,1180,1093,1130,1149,1079,1148,5.5,Under
THR-1093,Organic Frozen Spinach 10oz,Frozen,1809,1614,1677,1625,1830,230,1689,184,382.2,Over
THR-1094,Coconut Milk Ice Cream Vanilla,Frozen,437,431,449,397,421,421,438,489,6.2,Over
THR-1095,Frozen Edamame Shelled 12oz,Frozen,1502,1652,1645,1775,1740,1727,1693,1857,6.5,Under
THR-1096,Veggie Fried Rice Bowl,Frozen,188,179,179,175,208,205,181,198,4.3,Under
THR-1097,Frozen Wild Salmon Fillets 12oz,Frozen,2488,2530,2403,2500,2576,2489,2796,2825,2.5,Under
THR-1098,Organic Frozen Mixed Berries,Frozen,1986,2123,2130,2249,2255,2401,2302,2209,5.5,Under
THR-1099,Cauliflower Mac & Cheese,Frozen,299,276,279,293,327,290,283,302,8.0,Over
THR-1100,Frozen Organic Strawberries 10oz,Frozen,299,283,312,278,300,283,308,303,6.4,Over
THR-1101,Organic Frozen Peas 16oz,Frozen,1907,1915,1863,1964,1609,1648,1871,1891,2.2,Under
THR-1102,Frozen Turkey Meatballs 12oz,Frozen,1418,1400,1500,1648,1467,1444,1475,1578,4.6,Under
THR-1103,Organic Frozen Corn 16oz,Frozen,328,336,373,331,323,344,344,334,6.0,Over
THR-1104,Frozen Veggie Dumplings 10oz,Frozen,2265,2192,2352,2227,2668,2364,2289,2298,5.5,Over
THR-1105,Frozen Cauliflower Rice 12oz,Frozen,2661,2469,2243,2013,2261,2376,2660,2858,7.7,Over
THR-1106,Coconut Yogurt Vanilla 24oz,Frozen,1488,1559,1335,1290,1350,1507,1512,1416,6.3,Under
THR-1107,Organic Frozen Peaches 10oz,Frozen,1965,1875,2357,2480,2154,2293,2281,2047,6.8,Over
THR-1108,Frozen Organic Waffles 8ct,Frozen,1457,1345,1550,1524,1534,1370,1311,1201,7.8,Over
THR-1109,Organic Frozen Raspberries 10oz,Frozen,727,674,866,819,813,835,729,753,4.9,Over
THR-1110,Frozen Grass-Fed Beef Patties 4ct,Frozen,2576,2777,2304,2052,2615,2663,2620,2787,6.8,Under
THR-1111,Vitamin D3 2000IU 90ct,Supplements,1877,2029,1732,2021,1791,1982,1894,2001,9.2,Under
THR-1112,Probiotic 50B CFU 30ct,Supplements,1953,2335,1687,1843,1844,1999,1809,1945,9.9,Under
THR-1113,Omega-3 Fish Oil 120ct,Supplements,1226,1432,1233,1421,1064,1124,1247,1383,10.7,Under
THR-1114,Magnesium Glycinate 120ct,Supplements,1258,1355,1409,1653,1430,1542,1246,1306,8.4,Under
THR-1115,Turmeric Curcumin 60ct,Supplements,627,704,611,681,703,757,733,839,10.2,Under
THR-1116,Zinc 30mg 100ct,Supplements,562,636,594,615,550,633,642,717,9.7,Under
THR-1117,Collagen Peptides 20oz,Supplements,764,825,706,826,734,844,700,818,12.3,Under
THR-1118,Elderberry Gummies 60ct,Supplements,1749,1988,1659,1783,1678,2005,1653,1766,10.4,Under
THR-1119,B-Complex 60ct,Supplements,341,353,359,376,298,322,306,351,7.0,Under
THR-1120,Ashwagandha 60ct,Supplements,1806,2032,1979,2199,1755,2093,1785,2000,12.0,Under
THR-1121,Multivitamin Women 90ct,Supplements,2211,2369,2384,2546,2579,2786,2257,2404,6.6,Under
THR-1122,Iron 18mg 60ct,Supplements,2196,2403,2325,2718,2314,2699,2033,2193,11.2,Under
THR-1123,Vitamin C 1000mg 100ct,Supplements,481,552,410,465,450,482,458,513,10.5,Under
THR-1124,Melatonin 5mg 60ct,Supplements,2986,3571,2546,2904,2941,3267,2815,3261,13.1,Under
THR-1125,Lions Mane Mushroom 60ct,Supplements,1353,1609,1403,1486,1395,1478,1404,1684,10.9,Under
THR-1126,MCT Oil 16oz,Supplements,1675,1896,1895,2059,1730,1970,1754,2071,11.8,Under
THR-1127,Vitamin K2 MK7 60ct,Supplements,636,675,700,815,678,785,625,734,12.1,Under
THR-1128,Adaptogen Blend 60ct,Supplements,1652,1792,1690,1815,1685,1951,97,2098,30.9,Under
THR-1129,Vitamin B12 1000mcg 60ct,Supplements,1191,1407,1239,1341,1099,1303,1142,1295,12.6,Under
THR-1130,Digestive Enzymes 60ct,Supplements,1100,1274,1078,1261,1070,1225,1036,1205,13.7,Under
THR-1131,Plant Protein Powder Choc 2lb,Supplements,2274,2563,2112,2293,2281,2394,2138,2414,8.8,Under
THR-1132,Grass-Fed Whey Protein 2lb,Supplements,498,560,509,550,444,476,443,472,7.8,Under
THR-1133,Grass-Fed Collagen 10oz,Supplements,455,471,411,477,441,527,431,474,10.7,Under
THR-1134,Organic Flax Oil 16oz,Supplements,1562,1837,1557,1866,1649,1734,1847,2164,12.8,Under
THR-1135,Probiotic Gummies 60ct,Supplements,211,222,199,234,224,231,219,248,8.7,Under
THR-1136,Charcoal Toothpaste 4oz,Personal Care,174,154,181,182,193,205,170,190,7.5,Under
THR-1137,Organic Deodorant Lavender,Personal Care,1036,947,1113,1038,1035,925,1175,1282,9.2,Over
THR-1138,Castile Soap Peppermint 32oz,Personal Care,884,845,822,752,816,865,832,901,6.8,Under
THR-1139,Bamboo Toothbrush 4pk,Personal Care,1359,1322,1284,1231,1237,1222,1316,1327,2.3,Over
THR-1140,Mineral Sunscreen SPF30,Personal Care,954,974,930,866,847,929,864,948,6.8,Under
THR-1141,Shampoo Bar Coconut,Personal Care,1007,935,1068,1081,1041,1011,993,959,3.9,Over
THR-1142,Hand Soap Refill Lemon 32oz,Personal Care,1148,1066,1146,1021,1277,1350,1075,1088,6.6,Over
THR-1143,Natural Lip Balm 3pk,Personal Care,2511,2604,2604,2452,2673,2972,2583,2577,5.0,Under
THR-1144,Body Lotion Unscented 12oz,Personal Care,888,985,812,878,740,796,735,647,9.5,Under
THR-1145,Organic Cotton Rounds 80ct,Personal Care,699,726,698,695,681,600,690,609,7.7,Over
THR-1146,Natural Bug Spray 4oz,Personal Care,2489,2297,2479,2493,2169,2231,2174,2098,3.8,Over
THR-1147,Organic Face Wash 6oz,Personal Care,1859,1671,1916,1984,1581,1545,1702,1692,4.4,Over
THR-1148,Natural Conditioner 12oz,Personal Care,2923,2639,2743,2441,2570,2797,2939,2921,8.0,Over
THR-1149,Organic Body Wash 16oz,Personal Care,331,292,291,266,329,354,336,319,8.8,Over
THR-1150,Organic Dry Shampoo,Personal Care,2254,2518,2537,2537,2659,2374,2398,2592,7.5,Under
THR-1151,Organic Facial Toner 4oz,Personal Care,1600,1581,1432,1450,1477,1365,1541,1496,3.4,Over
THR-1152,Natural Deodorant Cedar,Personal Care,2469,2403,2579,2326,2888,2849,2791,2524,6.4,Over
THR-1153,Activated Charcoal Floss 3pk,Personal Care,438,448,460,447,457,444,437,479,4.2,Under
THR-1154,Organic Hand Cream 4oz,Personal Care,1016,1000,1096,1091,1019,958,1057,1088,2.8,Over
THR-1155,Natural Mouthwash 16oz,Personal Care,2490,2706,2521,2479,2717,2815,2600,2475,4.6,Under
THR-1156,Dish Soap Plant-Based 16oz,Household,2690,2376,2629,2211,2525,2370,2534,2076,15.2,Over
THR-1157,Laundry Detergent Pods 40ct,Household,2644,2209,2573,2422,2219,2095,2572,2351,10.3,Over
THR-1158,All-Purpose Cleaner 32oz,Household,757,667,676,599,748,686,696,650,10.6,Over
THR-1159,Recycled Paper Towels 6pk,Household,1511,1379,1485,1342,1612,1466,1638,1579,8.5,Over
THR-1160,Beeswax Food Wraps 3pk,Household,1501,1347,1461,1265,1558,1402,1478,1269,13.6,Over
THR-1161,Compostable Trash Bags 13gal,Household,213,182,232,206,213,173,229,200,16.8,Over
THR-1162,Dryer Balls Wool 4pk,Household,368,355,374,310,368,329,431,361,13.9,Over
THR-1163,Bamboo Cleaning Cloths 5pk,Household,1761,1537,1602,1340,1700,1563,1884,1692,13.6,Over
THR-1164,Hand Sanitizer Aloe 8oz,Household,2383,2148,2370,2132,2248,2121,2373,2226,8.7,Over
THR-1165,Recycled Toilet Paper 12pk,Household,1235,1066,1242,1075,1363,146,1317,139,428.1,Over
THR-1166,Glass Spray Bottles 3pk,Household,2234,1958,2113,1819,2093,1722,2467,2377,13.9,Over
THR-1167,Natural Sponge 2pk,Household,2218,2074,2067,1665,2069,1756,2312,2071,15.1,Over
THR-1168,Compostable Plates 50ct,Household,2286,1844,2242,2001,2358,1927,2289,2123,16.5,Over
THR-1169,Reusable Storage Bags 8pk,Household,1236,1159,1261,1166,1389,1314,1368,1193,8.8,Over
THR-1170,Bamboo Dish Brush,Household,2663,2276,2750,2335,2520,2383,2899,2653,12.4,Over
THR-1171,Natural Laundry Stain Spray 16oz,Household,530,435,473,404,484,456,499,411,16.6,Over
THR-1172,Wool Dryer Sheets 40ct,Household,2718,2302,2946,2541,2954,2527,2440,2273,14.6,Over
THR-1173,Natural Fabric Softener 32oz,Household,472,412,472,399,533,457,508,455,15.3,Over
THR-1174,Compostable Sandwich Bags 50ct,Household,1903,1823,1962,1721,2314,2019,2315,2209,9.5,Over
THR-1175,Recycled Aluminum Foil 75ft,Household,2873,2615,2532,2294,2907,2698,2742,2236,12.7,Over
THR-1176,Organic Baby Cereal Rice,Baby & Kids,528,568,558,547,471,422,497,524,6.5,Under
THR-1177,Baby Wipes Unscented 72ct,Baby & Kids,554,577,492,499,550,505,522,486,5.4,Over
THR-1178,Organic Baby Puree Variety 8pk,Baby & Kids,684,721,718,705,783,735,761,715,5.0,Over
THR-1179,Kids Multivitamin Gummies 60ct,Baby & Kids,2478,2488,2585,2738,2475,2210,2786,3090,7.0,Under
THR-1180,Organic Toddler Snack Bars 6ct,Baby & Kids,2087,1995,2098,2268,2113,2136,2006,1992,3.5,Under
THR-1181,Baby Lotion Fragrance Free 8oz,Baby & Kids,418,430,418,409,434,390,421,432,4.7,Over
THR-1182,Organic Baby Formula 23oz,Baby & Kids,1277,1357,1293,1337,1208,1189,1369,1283,4.4,Under
THR-1183,Kids Probiotic 30ct,Baby & Kids,1174,1066,1167,1223,1045,1158,1126,1202,7.7,Under
THR-1184,Organic Teething Wafers,Baby & Kids,1069,1147,1127,1009,1231,1253,1081,1069,5.3,Over
THR-1185,Baby Sunscreen Mineral SPF50,Baby & Kids,1650,1497,1671,1471,1709,1508,1450,1402,10.1,Over
THR-1186,Organic Baby Shampoo 8oz,Baby & Kids,765,793,693,651,795,760,781,794,4.1,Over
THR-1187,Kids Omega-3 Gummies 60ct,Baby & Kids,556,551,582,630,587,594,549,509,4.4,Under
THR-1188,Organic Diaper Cream 4oz,Baby & Kids,2563,2705,2451,2625,2259,2493,2197,2218,5.6,Under
THR-1189,Kids Bath Bombs 6ct,Baby & Kids,2847,2576,2740,2567,2719,2431,2994,3146,8.5,Over
THR-1190,Baby Probiotic Drops,Baby & Kids,525,535,501,517,490,500,457,474,2.6,Under
THR-1191,Organic Baby Food Pouch Variety 6pk,Baby & Kids,631,596,599,556,691,705,609,559,6.1,Over
THR-1192,Kids Calcium Gummies 60ct,Baby & Kids,2170,1956,2152,2050,2111,2163,1912,2075,6.5,Over
THR-1193,Organic Baby Wash 8oz,Baby & Kids,798,708,713,704,763,717,721,773,6.8,Over
THR-1194,Kids Elderberry Syrup 4oz,Baby & Kids,717,792,634,647,749,672,760,704,7.7,Over
THR-1195,Baby Vitamin D Drops,Baby & Kids,2743,2524,2805,3021,2706,2400,2866,2640,9.3,Over
THR-1196,Organic Toddler Formula 23oz,Baby & Kids,1028,1027,1075,1069,916,890,982,1015,1.7,Under
THR-1197,Kids Fiber Gummies 60ct,Baby & Kids,2263,2415,2202,2236,2191,2070,2057,2104,4.0,Under
THR-1198,Baby Oatmeal Cereal,Baby & Kids,263,292,220,228,228,245,260,232,8.1,Under
THR-1199,Organic Baby Snack Puffs,Baby & Kids,964,921,1066,1029,1036,1086,987,1003,3.6,Over
THR-1200,Kids DHA Gummies 60ct,Baby & Kids,700,631,664,619,705,620,760,705,9.9,Over
