team,week,active_users,total_seats,sessions,tokens_consumed,estimated_cost,top_use_case
Data Engineering,2026-01-20,9,10,168,1450000,725.00,SQL generation and optimization
Data Engineering,2026-01-27,9,10,175,1520000,760.00,data quality analysis
Data Engineering,2026-02-03,9,10,182,1580000,790.00,SQL generation and optimization
Data Engineering,2026-02-10,10,10,195,1680000,840.00,pipeline debugging
Data Engineering,2026-02-17,10,10,202,1750000,875.00,SQL generation and optimization
Data Engineering,2026-02-24,10,10,210,1820000,910.00,data quality analysis
Data Engineering,2026-03-03,10,10,218,1890000,945.00,SQL generation and optimization
Data Engineering,2026-03-10,10,10,225,1950000,975.00,pipeline debugging
Data Engineering,2026-03-17,10,10,232,2020000,1010.00,SQL generation and optimization
Data Engineering,2026-03-24,10,10,240,2080000,1040.00,data quality analysis
Growth,2026-01-06,4,10,42,320000,160.00,A/B test analysis
Growth,2026-01-13,4,10,45,350000,175.00,copy generation
Growth,2026-01-20,4,10,48,380000,190.00,A/B test analysis
Growth,2026-01-27,3,10,38,290000,145.00,copy generation
Growth,2026-02-03,3,10,35,270000,135.00,copy generation
Growth,2026-02-10,4,10,42,330000,165.00,A/B test analysis
Growth,2026-02-17,3,10,32,250000,125.00,copy generation
Growth,2026-02-24,3,10,30,240000,120.00,copy generation
Growth,2026-03-03,4,10,38,300000,150.00,A/B test analysis
Growth,2026-03-10,3,10,28,220000,110.00,copy generation
Growth,2026-03-17,3,10,25,200000,100.00,copy generation
Growth,2026-03-24,3,10,30,240000,120.00,A/B test analysis
Marketing,2026-01-06,2,8,18,140000,70.00,content drafting
Marketing,2026-01-13,2,8,15,120000,60.00,content drafting
Marketing,2026-01-20,3,8,22,180000,90.00,email campaign copy
Marketing,2026-01-27,2,8,16,130000,65.00,content drafting
Marketing,2026-02-03,2,8,14,110000,55.00,content drafting
Marketing,2026-02-10,1,8,8,65000,32.50,content drafting
Marketing,2026-02-17,2,8,12,95000,47.50,email campaign copy
Marketing,2026-02-24,1,8,6,48000,24.00,content drafting
Marketing,2026-03-03,2,8,10,82000,41.00,content drafting
Marketing,2026-03-10,1,8,5,40000,20.00,content drafting
Marketing,2026-03-17,1,8,4,32000,16.00,content drafting
Marketing,2026-03-24,2,8,8,65000,32.50,email campaign copy
Finance,2026-01-06,3,8,28,220000,110.00,financial modeling
Finance,2026-01-13,3,8,32,250000,125.00,report generation
Finance,2026-01-20,3,8,30,240000,120.00,financial modeling
Finance,2026-01-27,2,8,22,175000,87.50,report generation
Finance,2026-02-03,2,8,20,160000,80.00,financial modeling
Finance,2026-02-10,3,8,25,200000,100.00,report generation
Finance,2026-02-17,2,8,18,145000,72.50,financial modeling
Finance,2026-02-24,2,8,15,120000,60.00,report generation
Finance,2026-03-03,3,8,22,180000,90.00,financial modeling
Finance,2026-03-10,2,8,16,130000,65.00,report generation
Finance,2026-03-17,2,8,14,112000,56.00,financial modeling
Finance,2026-03-24,2,8,18,145000,72.50,report generation
QA Engineering,2026-01-06,4,8,52,420000,210.00,test case generation
QA Engineering,2026-01-13,4,8,55,440000,220.00,test case generation
QA Engineering,2026-01-20,5,8,65,530000,265.00,test automation scripting
QA Engineering,2026-01-27,5,8,68,550000,275.00,test case generation
QA Engineering,2026-02-03,5,8,72,580000,290.00,test automation scripting
QA Engineering,2026-02-10,5,8,75,610000,305.00,test case generation
QA Engineering,2026-02-17,6,8,82,670000,335.00,test automation scripting
QA Engineering,2026-02-24,6,8,88,720000,360.00,test case generation
QA Engineering,2026-03-03,6,8,92,750000,375.00,test automation scripting
QA Engineering,2026-03-10,6,8,95,780000,390.00,bug reproduction scripting
QA Engineering,2026-03-17,7,8,102,840000,420.00,test case generation
QA Engineering,2026-03-24,7,8,108,890000,445.00,test automation scripting
Security,2026-01-06,3,5,48,420000,210.00,vulnerability analysis
Security,2026-01-13,3,5,52,450000,225.00,policy document drafting
Security,2026-01-20,4,5,62,540000,270.00,vulnerability analysis
Security,2026-01-27,4,5,65,560000,280.00,code security review
Security,2026-02-03,4,5,68,590000,295.00,vulnerability analysis
Security,2026-02-10,4,5,72,620000,310.00,code security review
Security,2026-02-17,5,5,78,680000,340.00,incident forensics
Security,2026-02-24,5,5,82,710000,355.00,vulnerability analysis
Security,2026-03-03,5,5,85,740000,370.00,code security review
Security,2026-03-10,5,5,88,770000,385.00,vulnerability analysis
Security,2026-03-17,5,5,92,800000,400.00,incident forensics
Security,2026-03-24,5,5,95,830000,415.00,vulnerability analysis
