member_id,signup_date,cohort_month,total_orders,total_revenue,avg_aov,category_mix,membership_type,region,acquisition_channel,months_active
TM100021,2025-04-10,2025-04,10,601.05,60.1,Pantry:29.9|Snacks:16.2|Vitamins:18.5|Beauty:15.2|Fresh:3.3|Beverages:12.4|Household:4.4,Annual,West,Paid Social,2
TM100022,2025-04-26,2025-04,14,932.53,66.61,Pantry:31.2|Snacks:21.5|Vitamins:14.3|Beauty:9.1|Fresh:2.4|Beverages:13.0|Household:8.4,Monthly,Southwest,Referral,4
TM100023,2025-04-19,2025-04,10,606.61,60.66,Pantry:29.9|Snacks:11.6|Vitamins:19.5|Beauty:12.2|Fresh:4.2|Beverages:10.5|Household:12.1,Monthly,West,Email,3
TM100024,2025-04-25,2025-04,14,891.15,63.65,Pantry:45.2|Snacks:13.4|Vitamins:7.9|Beauty:11.3|Fresh:3.1|Beverages:12.4|Household:6.8,Monthly,Midwest,Organic,4
TM100025,2025-04-16,2025-04,5,290.15,58.03,Pantry:29.4|Snacks:21.9|Vitamins:11.7|Beauty:13.5|Fresh:4.5|Beverages:8.4|Household:10.7,Annual,Southeast,SEM,1
TM100026,2025-04-18,2025-04,35,2336.24,66.75,Pantry:27.5|Snacks:15.6|Vitamins:16.2|Beauty:14.8|Fresh:5.2|Beverages:10.1|Household:10.7,Annual,West,Referral,7
TM100027,2025-04-15,2025-04,17,1059.01,62.29,Pantry:41.3|Snacks:13.0|Vitamins:12.5|Beauty:16.1|Fresh:1.1|Beverages:9.0|Household:7.0,Monthly,Midwest,SEM,4
TM100028,2025-04-21,2025-04,4,209.16,52.29,Pantry:30.2|Snacks:11.8|Vitamins:13.8|Beauty:17.3|Fresh:2.0|Beverages:13.3|Household:11.6,Monthly,Southwest,Paid Social,1
TM100029,2025-04-03,2025-04,21,1354.81,64.51,Pantry:32.9|Snacks:12.7|Vitamins:11.2|Beauty:14.5|Fresh:5.9|Beverages:11.1|Household:11.7,Annual,West,Organic,5
TM100030,2025-04-12,2025-04,12,839.36,69.95,Pantry:42.0|Snacks:13.0|Vitamins:16.1|Beauty:6.2|Fresh:2.5|Beverages:11.9|Household:8.3,Monthly,West,Referral,3
TM100031,2025-04-15,2025-04,13,891.33,68.56,Pantry:36.7|Snacks:13.5|Vitamins:16.4|Beauty:13.6|Fresh:0.4|Beverages:14.1|Household:5.3,Monthly,Southeast,Referral,3
TM100032,2025-04-14,2025-04,28,1937.58,69.2,Pantry:32.4|Snacks:15.5|Vitamins:17.2|Beauty:9.9|Fresh:3.6|Beverages:11.9|Household:9.5,Monthly,Southwest,Referral,7
TM100033,2025-04-07,2025-04,14,838.85,59.92,Pantry:32.2|Snacks:18.0|Vitamins:16.5|Beauty:16.9|Fresh:3.0|Beverages:8.9|Household:4.5,Annual,Southwest,Email,3
TM100034,2025-04-02,2025-04,20,1115.12,55.76,Pantry:29.3|Snacks:24.2|Vitamins:12.8|Beauty:15.0|Fresh:2.3|Beverages:6.5|Household:9.9,Annual,Southwest,Paid Social,5
TM100035,2025-04-08,2025-04,23,1459.62,63.46,Pantry:32.0|Snacks:26.6|Vitamins:7.8|Beauty:15.6|Fresh:3.9|Beverages:9.5|Household:4.6,Monthly,Northeast,Organic,5
TM100036,2025-04-02,2025-04,17,1146.83,67.46,Pantry:48.9|Snacks:16.3|Vitamins:8.6|Beauty:9.6|Fresh:1.0|Beverages:10.1|Household:5.6,Annual,West,Organic,4
TM100037,2025-04-28,2025-04,13,813.0,62.54,Pantry:35.1|Snacks:21.4|Vitamins:15.0|Beauty:11.4|Fresh:0.1|Beverages:7.5|Household:9.4,Annual,Southeast,Organic,3
TM100038,2025-04-23,2025-04,15,1061.57,70.77,Pantry:38.4|Snacks:13.2|Vitamins:11.3|Beauty:9.9|Fresh:4.0|Beverages:16.1|Household:7.1,Monthly,Northeast,Referral,4
TM100039,2025-04-21,2025-04,24,1629.3,67.89,Pantry:38.9|Snacks:13.3|Vitamins:13.0|Beauty:15.3|Fresh:2.3|Beverages:12.8|Household:4.4,Monthly,Southwest,Referral,6
TM100040,2025-04-13,2025-04,9,603.96,67.11,Pantry:38.0|Snacks:17.1|Vitamins:9.1|Beauty:14.2|Fresh:5.2|Beverages:7.9|Household:8.5,Annual,West,Referral,3
TM100041,2025-04-18,2025-04,15,950.88,63.39,Pantry:32.2|Snacks:18.6|Vitamins:19.6|Beauty:10.8|Fresh:0.8|Beverages:11.3|Household:6.7,Annual,Southeast,Organic,3
TM100042,2025-04-22,2025-04,3,164.16,54.72,Pantry:32.0|Snacks:21.7|Vitamins:6.3|Beauty:14.0|Fresh:4.0|Beverages:14.7|Household:7.3,Annual,Northeast,Influencer,1
TM100043,2025-04-14,2025-04,3,177.12,59.04,Pantry:33.3|Snacks:20.1|Vitamins:16.1|Beauty:9.2|Fresh:2.6|Beverages:9.4|Household:9.3,Monthly,West,SEM,1
TM100044,2025-04-23,2025-04,4,224.36,56.09,Pantry:34.8|Snacks:17.5|Vitamins:15.8|Beauty:13.3|Fresh:4.2|Beverages:8.7|Household:5.8,Monthly,West,SEM,1
TM100045,2025-04-11,2025-04,9,529.95,58.88,Pantry:43.6|Snacks:21.0|Vitamins:15.5|Beauty:6.6|Fresh:0.9|Beverages:8.8|Household:3.6,Annual,Midwest,SEM,2
TM100046,2025-04-15,2025-04,16,980.48,61.28,Pantry:34.6|Snacks:18.1|Vitamins:8.5|Beauty:12.1|Fresh:2.4|Beverages:12.4|Household:11.8,Annual,Southwest,SEM,3
TM100047,2025-04-01,2025-04,15,952.25,63.48,Pantry:35.8|Snacks:16.7|Vitamins:10.3|Beauty:14.0|Fresh:0.1|Beverages:15.5|Household:7.6,Monthly,West,Email,4
TM100048,2025-04-10,2025-04,14,942.28,67.31,Pantry:32.9|Snacks:17.5|Vitamins:12.7|Beauty:12.5|Fresh:2.9|Beverages:13.1|Household:8.3,Monthly,Southeast,Referral,4
TM100049,2025-04-09,2025-04,5,317.25,63.45,Pantry:29.6|Snacks:12.4|Vitamins:12.9|Beauty:15.8|Fresh:2.8|Beverages:15.2|Household:11.2,Annual,Southwest,SEM,1
TM100050,2025-04-26,2025-04,6,344.88,57.48,Pantry:34.9|Snacks:18.0|Vitamins:12.7|Beauty:13.1|Fresh:4.3|Beverages:11.5|Household:5.6,Monthly,Northeast,Email,2
TM100051,2025-04-02,2025-04,21,1172.94,55.85,Pantry:36.4|Snacks:18.9|Vitamins:14.1|Beauty:10.3|Fresh:3.7|Beverages:12.2|Household:4.3,Annual,West,Paid Social,4
TM100052,2025-04-21,2025-04,27,1645.02,60.93,Pantry:31.5|Snacks:15.8|Vitamins:17.9|Beauty:14.0|Fresh:0.5|Beverages:12.2|Household:8.1,Annual,Midwest,Email,5
TM100053,2025-04-07,2025-04,5,247.8,49.56,Pantry:29.5|Snacks:18.5|Vitamins:18.4|Beauty:5.8|Fresh:1.7|Beverages:15.6|Household:10.5,Annual,West,Paid Social,1
TM100054,2025-04-01,2025-04,9,547.89,60.88,Pantry:47.6|Snacks:14.8|Vitamins:8.4|Beauty:9.4|Fresh:1.1|Beverages:14.6|Household:4.1,Monthly,West,Organic,2
TM100055,2025-04-20,2025-04,25,1434.4,57.38,Pantry:37.9|Snacks:17.5|Vitamins:16.4|Beauty:11.7|Fresh:5.4|Beverages:6.8|Household:4.4,Monthly,Midwest,Paid Social,7
TM100056,2025-04-03,2025-04,28,1797.59,64.2,Pantry:36.3|Snacks:20.8|Vitamins:11.4|Beauty:7.5|Fresh:5.3|Beverages:6.6|Household:12.1,Annual,Southeast,Organic,7
TM100057,2025-04-05,2025-04,13,752.94,57.92,Pantry:38.7|Snacks:25.9|Vitamins:7.0|Beauty:9.7|Fresh:1.9|Beverages:7.4|Household:9.3,Monthly,Southwest,Paid Social,3
TM100058,2025-04-09,2025-04,9,481.68,53.52,Pantry:36.4|Snacks:18.2|Vitamins:11.9|Beauty:10.5|Fresh:0.1|Beverages:13.1|Household:9.6,Annual,West,Influencer,2
TM100059,2025-04-05,2025-04,14,917.07,65.51,Pantry:36.3|Snacks:13.6|Vitamins:10.3|Beauty:9.4|Fresh:5.4|Beverages:12.5|Household:12.5,Annual,Southeast,Organic,4
TM100060,2025-04-04,2025-04,24,1506.28,62.76,Pantry:42.0|Snacks:11.3|Vitamins:8.1|Beauty:15.3|Fresh:4.1|Beverages:13.4|Household:5.9,Annual,Southeast,Organic,5
TM100061,2025-04-19,2025-04,10,666.05,66.6,Pantry:31.2|Snacks:24.3|Vitamins:6.6|Beauty:6.2|Fresh:5.5|Beverages:16.3|Household:9.8,Monthly,West,Organic,2
TM100062,2025-04-17,2025-04,3,184.86,61.62,Pantry:35.3|Snacks:20.6|Vitamins:17.5|Beauty:6.1|Fresh:4.4|Beverages:7.7|Household:8.6,Annual,Southwest,Paid Social,1
TM100063,2025-04-09,2025-04,6,383.1,63.85,Pantry:32.8|Snacks:22.7|Vitamins:11.3|Beauty:17.2|Fresh:3.8|Beverages:7.6|Household:4.6,Monthly,Southeast,Organic,2
TM100064,2025-04-05,2025-04,9,591.16,65.68,Pantry:31.1|Snacks:20.7|Vitamins:12.1|Beauty:11.1|Fresh:3.1|Beverages:13.4|Household:8.5,Annual,Southeast,Organic,2
TM100065,2025-04-20,2025-04,15,792.19,52.81,Pantry:35.4|Snacks:22.5|Vitamins:15.4|Beauty:5.7|Fresh:4.8|Beverages:11.3|Household:4.9,Annual,Southeast,Paid Social,4
TM100066,2025-04-11,2025-04,64,4234.58,66.17,Pantry:38.1|Snacks:19.6|Vitamins:7.3|Beauty:13.2|Fresh:0.5|Beverages:11.6|Household:9.6,Annual,West,Referral,12
TM100067,2025-04-25,2025-04,5,332.1,66.42,Pantry:31.7|Snacks:21.6|Vitamins:13.9|Beauty:6.2|Fresh:1.9|Beverages:17.4|Household:7.3,Monthly,Northeast,SEM,1
TM100068,2025-04-24,2025-04,22,1380.82,62.76,Pantry:31.3|Snacks:20.7|Vitamins:14.8|Beauty:15.8|Fresh:4.1|Beverages:6.1|Household:7.1,Annual,West,Referral,4
TM100069,2025-04-02,2025-04,16,1096.25,68.52,Pantry:39.6|Snacks:17.3|Vitamins:11.3|Beauty:7.1|Fresh:1.1|Beverages:11.9|Household:11.7,Annual,Southwest,Organic,4
TM100070,2025-04-01,2025-04,6,376.47,62.75,Pantry:41.8|Snacks:12.8|Vitamins:11.6|Beauty:15.7|Fresh:1.2|Beverages:10.3|Household:6.7,Monthly,Midwest,Referral,2
TM100071,2025-04-04,2025-04,23,1322.75,57.51,Pantry:31.2|Snacks:13.6|Vitamins:10.3|Beauty:16.6|Fresh:3.4|Beverages:15.3|Household:9.6,Annual,Southwest,Paid Social,5
TM100072,2025-04-17,2025-04,19,1096.28,57.7,Pantry:31.9|Snacks:18.2|Vitamins:15.8|Beauty:8.8|Fresh:4.3|Beverages:13.1|Household:8.0,Annual,West,SEM,4
TM100073,2025-04-11,2025-04,7,455.67,65.1,Pantry:27.4|Snacks:21.2|Vitamins:10.3|Beauty:13.4|Fresh:3.4|Beverages:13.8|Household:10.5,Monthly,Midwest,Referral,2
TM100074,2025-04-02,2025-04,5,314.5,62.9,Pantry:38.0|Snacks:18.8|Vitamins:16.7|Beauty:6.0|Fresh:4.2|Beverages:10.3|Household:6.0,Annual,Southwest,Organic,1
TM100075,2025-04-13,2025-04,13,747.52,57.5,Pantry:30.9|Snacks:21.5|Vitamins:10.3|Beauty:15.6|Fresh:2.6|Beverages:10.8|Household:8.4,Monthly,Southwest,SEM,3
TM100076,2025-04-02,2025-04,31,1716.62,55.37,Pantry:31.0|Snacks:18.3|Vitamins:16.5|Beauty:10.9|Fresh:2.1|Beverages:11.2|Household:9.9,Annual,Southeast,Paid Social,6
TM100077,2025-04-22,2025-04,8,549.69,68.71,Pantry:31.5|Snacks:13.3|Vitamins:18.6|Beauty:10.7|Fresh:2.4|Beverages:13.2|Household:10.4,Annual,Southwest,Organic,2
TM100078,2025-04-15,2025-04,24,1385.65,57.74,Pantry:31.6|Snacks:22.6|Vitamins:12.3|Beauty:6.7|Fresh:4.6|Beverages:10.3|Household:12.0,Annual,Midwest,Paid Social,5
TM100079,2025-04-26,2025-04,5,291.25,58.25,Pantry:26.2|Snacks:16.6|Vitamins:16.7|Beauty:13.6|Fresh:3.6|Beverages:14.4|Household:8.8,Monthly,Northeast,Email,1
TM100080,2025-04-15,2025-04,16,905.01,56.56,Pantry:34.3|Snacks:15.7|Vitamins:14.4|Beauty:12.7|Fresh:0.4|Beverages:14.1|Household:8.4,Annual,Northeast,Paid Social,4
TM100081,2025-04-10,2025-04,6,352.44,58.74,Pantry:36.0|Snacks:15.0|Vitamins:7.8|Beauty:15.7|Fresh:1.2|Beverages:15.9|Household:8.4,Annual,West,Paid Social,2
TM100082,2025-04-07,2025-04,18,1032.45,57.36,Pantry:41.2|Snacks:11.1|Vitamins:17.2|Beauty:6.2|Fresh:5.0|Beverages:13.5|Household:5.7,Annual,Southeast,SEM,4
TM100083,2025-04-24,2025-04,13,641.1,49.32,Pantry:32.3|Snacks:19.1|Vitamins:14.1|Beauty:8.8|Fresh:3.8|Beverages:10.1|Household:11.8,Annual,Southeast,Influencer,3
TM100084,2025-04-21,2025-04,31,1994.16,64.33,Pantry:35.5|Snacks:23.6|Vitamins:8.5|Beauty:9.3|Fresh:0.3|Beverages:10.9|Household:11.9,Annual,Southwest,Email,8
TM100085,2025-04-02,2025-04,33,1798.36,54.5,Pantry:37.2|Snacks:14.2|Vitamins:17.3|Beauty:12.6|Fresh:1.0|Beverages:10.2|Household:7.6,Annual,West,Influencer,7
TM100086,2025-04-27,2025-04,12,771.2,64.27,Pantry:38.9|Snacks:14.6|Vitamins:10.1|Beauty:14.3|Fresh:2.9|Beverages:13.0|Household:6.1,Monthly,Northeast,Organic,3
TM100087,2025-04-21,2025-04,10,643.85,64.39,Pantry:38.1|Snacks:18.7|Vitamins:14.5|Beauty:10.4|Fresh:3.5|Beverages:10.4|Household:4.4,Annual,West,Organic,2
TM100088,2025-04-25,2025-04,3,136.62,45.54,Pantry:47.1|Snacks:13.6|Vitamins:6.3|Beauty:9.8|Fresh:0.9|Beverages:14.3|Household:8.0,Monthly,Southwest,Influencer,1
TM100089,2025-04-09,2025-04,16,1127.96,70.5,Pantry:33.4|Snacks:19.4|Vitamins:13.2|Beauty:12.4|Fresh:1.3|Beverages:9.4|Household:11.0,Annual,Northeast,Referral,4
TM100090,2025-04-18,2025-04,30,2016.11,67.2,Pantry:28.1|Snacks:22.7|Vitamins:14.5|Beauty:13.4|Fresh:1.1|Beverages:14.3|Household:5.8,Annual,Northeast,Referral,6
TM100091,2025-04-14,2025-04,8,381.87,47.73,Pantry:34.4|Snacks:20.5|Vitamins:7.0|Beauty:14.0|Fresh:0.0|Beverages:11.6|Household:12.5,Annual,Southeast,Influencer,2
TM100092,2025-04-06,2025-04,4,201.84,50.46,Pantry:35.1|Snacks:21.1|Vitamins:6.2|Beauty:10.9|Fresh:2.7|Beverages:12.4|Household:11.6,Monthly,Midwest,Influencer,1
TM100093,2025-04-21,2025-04,9,526.48,58.5,Pantry:40.5|Snacks:21.3|Vitamins:5.3|Beauty:11.1|Fresh:0.6|Beverages:15.4|Household:5.8,Monthly,Northeast,Paid Social,2
TM100094,2025-04-12,2025-04,28,1837.4,65.62,Pantry:37.6|Snacks:18.8|Vitamins:10.3|Beauty:10.1|Fresh:3.6|Beverages:13.1|Household:6.5,Annual,Northeast,Referral,8
TM100095,2025-04-16,2025-04,17,886.79,52.16,Pantry:30.3|Snacks:23.0|Vitamins:12.0|Beauty:10.2|Fresh:5.3|Beverages:9.3|Household:10.0,Annual,West,Influencer,3
TM100096,2025-04-18,2025-04,5,289.15,57.83,Pantry:44.0|Snacks:12.7|Vitamins:12.5|Beauty:13.9|Fresh:0.5|Beverages:12.3|Household:4.1,Monthly,Northeast,Influencer,1
TM100097,2025-04-07,2025-04,21,1225.84,58.37,Pantry:40.5|Snacks:20.2|Vitamins:16.6|Beauty:9.8|Fresh:0.1|Beverages:9.1|Household:3.7,Annual,Midwest,Email,4
TM100098,2025-04-12,2025-04,4,299.04,74.76,Pantry:37.1|Snacks:15.6|Vitamins:8.5|Beauty:7.4|Fresh:3.7|Beverages:14.2|Household:13.5,Annual,Southwest,Referral,1
TM100099,2025-04-01,2025-04,8,529.98,66.25,Pantry:38.5|Snacks:15.5|Vitamins:15.3|Beauty:13.1|Fresh:4.6|Beverages:9.2|Household:3.9,Annual,Northeast,Email,2
TM100100,2025-04-17,2025-04,22,1289.36,58.61,Pantry:32.0|Snacks:23.5|Vitamins:12.7|Beauty:9.1|Fresh:1.4|Beverages:17.0|Household:4.4,Annual,Southeast,Email,6
TM100101,2025-04-22,2025-04,7,434.26,62.04,Pantry:37.8|Snacks:17.2|Vitamins:9.9|Beauty:12.2|Fresh:3.4|Beverages:14.2|Household:5.3,Annual,Northeast,Email,2
TM100102,2025-04-02,2025-04,8,441.52,55.19,Pantry:31.2|Snacks:19.4|Vitamins:11.4|Beauty:13.7|Fresh:1.5|Beverages:12.3|Household:10.4,Annual,Northeast,Paid Social,2
TM100103,2025-04-28,2025-04,14,945.37,67.53,Pantry:35.4|Snacks:21.3|Vitamins:7.7|Beauty:13.1|Fresh:3.8|Beverages:11.0|Household:7.6,Monthly,Midwest,Referral,4
TM100104,2025-04-16,2025-04,15,956.14,63.74,Pantry:36.5|Snacks:17.7|Vitamins:11.1|Beauty:12.3|Fresh:4.1|Beverages:10.3|Household:8.0,Annual,Northeast,Email,3
TM100105,2025-04-19,2025-04,4,254.16,63.54,Pantry:36.0|Snacks:17.6|Vitamins:14.5|Beauty:8.5|Fresh:0.9|Beverages:9.0|Household:13.5,Monthly,Southeast,Paid Social,1
TM100106,2025-04-02,2025-04,21,1138.72,54.22,Pantry:38.1|Snacks:12.4|Vitamins:14.8|Beauty:10.2|Fresh:4.7|Beverages:10.7|Household:9.0,Annual,West,Influencer,4
TM100107,2025-04-10,2025-04,20,1364.38,68.22,Pantry:40.5|Snacks:11.8|Vitamins:13.8|Beauty:10.6|Fresh:0.1|Beverages:14.2|Household:9.1,Monthly,West,Referral,5
TM100108,2025-04-12,2025-04,3,170.46,56.82,Pantry:35.6|Snacks:15.9|Vitamins:10.1|Beauty:13.8|Fresh:5.5|Beverages:10.3|Household:8.8,Monthly,Southeast,Organic,1
TM100109,2025-04-14,2025-04,8,519.66,64.96,Pantry:36.2|Snacks:19.9|Vitamins:16.7|Beauty:7.6|Fresh:0.1|Beverages:9.2|Household:10.3,Annual,West,Email,2
TM100110,2025-04-18,2025-04,3,185.73,61.91,Pantry:38.9|Snacks:18.5|Vitamins:12.5|Beauty:7.8|Fresh:4.7|Beverages:12.0|Household:5.6,Annual,Northeast,Referral,1
TM100111,2025-04-13,2025-04,49,3242.39,66.17,Pantry:36.7|Snacks:22.8|Vitamins:6.4|Beauty:9.2|Fresh:5.9|Beverages:11.7|Household:7.3,Annual,Northeast,Referral,9
TM100112,2025-04-15,2025-04,6,338.04,56.34,Pantry:36.0|Snacks:22.8|Vitamins:8.2|Beauty:10.4|Fresh:2.1|Beverages:6.9|Household:13.5,Monthly,Southeast,Paid Social,2
TM100113,2025-04-09,2025-04,32,1882.33,58.82,Pantry:38.7|Snacks:20.9|Vitamins:7.6|Beauty:12.3|Fresh:2.8|Beverages:12.9|Household:4.8,Annual,West,Paid Social,7
TM100114,2025-04-19,2025-04,25,1637.46,65.5,Pantry:29.5|Snacks:14.5|Vitamins:18.5|Beauty:15.5|Fresh:1.5|Beverages:12.6|Household:7.8,Monthly,Midwest,Email,6
TM100115,2025-04-03,2025-04,8,448.18,56.02,Pantry:36.4|Snacks:10.3|Vitamins:14.4|Beauty:14.4|Fresh:1.0|Beverages:12.9|Household:10.5,Annual,Southwest,SEM,2
TM100116,2025-04-23,2025-04,6,352.26,58.71,Pantry:37.3|Snacks:11.0|Vitamins:18.1|Beauty:9.9|Fresh:2.0|Beverages:10.2|Household:11.4,Monthly,Southwest,SEM,2
TM100117,2025-04-22,2025-04,5,294.25,58.85,Pantry:29.8|Snacks:21.8|Vitamins:15.4|Beauty:9.7|Fresh:3.7|Beverages:6.2|Household:13.4,Annual,Northeast,Paid Social,1
TM100118,2025-04-12,2025-04,24,1549.6,64.57,Pantry:39.1|Snacks:15.5|Vitamins:8.7|Beauty:13.9|Fresh:0.4|Beverages:13.0|Household:9.4,Monthly,Southwest,Referral,5
TM100119,2025-04-11,2025-04,10,527.01,52.7,Pantry:32.4|Snacks:12.2|Vitamins:16.6|Beauty:15.4|Fresh:4.0|Beverages:10.9|Household:8.6,Annual,West,Paid Social,3
TM100120,2025-04-20,2025-04,24,1556.1,64.84,Pantry:33.3|Snacks:17.2|Vitamins:9.4|Beauty:15.2|Fresh:2.9|Beverages:12.7|Household:9.3,Monthly,West,Referral,6
TM100121,2025-04-05,2025-04,9,501.68,55.74,Pantry:36.2|Snacks:15.3|Vitamins:12.0|Beauty:9.2|Fresh:4.6|Beverages:13.6|Household:9.1,Annual,Southwest,Paid Social,2
TM100122,2025-04-05,2025-04,3,202.29,67.43,Pantry:43.4|Snacks:15.7|Vitamins:12.2|Beauty:12.8|Fresh:0.4|Beverages:11.5|Household:4.1,Annual,Midwest,Referral,1
TM100123,2025-04-04,2025-04,10,626.98,62.7,Pantry:33.6|Snacks:19.0|Vitamins:8.3|Beauty:11.0|Fresh:4.3|Beverages:14.6|Household:9.2,Annual,Midwest,Organic,3
TM100124,2025-04-27,2025-04,8,551.99,69.0,Pantry:29.5|Snacks:22.2|Vitamins:16.4|Beauty:8.9|Fresh:5.6|Beverages:10.6|Household:6.8,Annual,Midwest,Referral,2
TM100125,2025-04-07,2025-04,3,206.34,68.78,Pantry:39.5|Snacks:16.6|Vitamins:16.6|Beauty:13.2|Fresh:1.0|Beverages:7.5|Household:5.7,Monthly,West,Organic,1
TM100126,2025-04-09,2025-04,8,489.4,61.17,Pantry:35.6|Snacks:22.6|Vitamins:17.0|Beauty:6.9|Fresh:4.1|Beverages:9.9|Household:3.8,Annual,Midwest,SEM,2
TM100127,2025-04-09,2025-04,10,583.98,58.4,Pantry:34.5|Snacks:17.8|Vitamins:12.9|Beauty:13.5|Fresh:5.2|Beverages:7.0|Household:9.1,Annual,Northeast,SEM,2
TM100128,2025-04-11,2025-04,9,456.06,50.67,Pantry:33.6|Snacks:19.1|Vitamins:14.5|Beauty:8.5|Fresh:4.6|Beverages:12.6|Household:7.1,Monthly,Midwest,Influencer,2
TM100129,2025-04-21,2025-04,12,674.2,56.18,Pantry:37.1|Snacks:11.3|Vitamins:10.4|Beauty:14.2|Fresh:2.0|Beverages:14.2|Household:10.7,Annual,Midwest,SEM,3
TM100130,2025-04-01,2025-04,17,953.96,56.12,Pantry:37.0|Snacks:15.6|Vitamins:10.9|Beauty:8.1|Fresh:4.2|Beverages:14.3|Household:9.8,Monthly,Northeast,Paid Social,4
TM100131,2025-04-14,2025-04,18,939.58,52.2,Pantry:38.7|Snacks:11.9|Vitamins:15.8|Beauty:11.0|Fresh:4.2|Beverages:13.2|Household:5.1,Monthly,Northeast,Influencer,5
TM100132,2025-04-22,2025-04,11,771.45,70.13,Pantry:28.2|Snacks:17.9|Vitamins:13.7|Beauty:11.9|Fresh:4.2|Beverages:12.8|Household:11.4,Annual,West,Referral,3
TM100133,2025-04-12,2025-04,14,817.14,58.37,Pantry:30.1|Snacks:19.9|Vitamins:16.3|Beauty:13.1|Fresh:0.6|Beverages:12.5|Household:7.4,Annual,Midwest,SEM,3
