ad_id,ad_name,creative_type,persona_target,hook_text,day,impressions,clicks,CTR,CPA,conversions,frequency,spend
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",7,60100,1803,3.00,19.80,38,2.2,752.40
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",8,58300,1749,3.00,20.00,37,2.4,740.00
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",9,59800,1794,3.00,19.90,37,2.5,736.30
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",10,57500,1725,3.00,20.10,36,2.7,723.60
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",11,61200,1836,3.00,19.70,38,2.9,748.60
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",12,58800,1764,3.00,20.00,37,3.0,740.00
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",13,60500,1815,3.00,19.80,38,3.1,752.40
AD007,Farm-To-Door-Story-Video,video,sustainability,"Meet the farmer behind your almond butter",14,59100,1773,3.00,19.90,37,3.2,736.30
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",1,37500,1313,3.50,19.80,30,1.0,594.00
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",2,39200,1372,3.50,19.50,31,1.2,604.50
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",3,41800,1463,3.50,19.10,33,1.4,630.30
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",4,40100,1404,3.50,19.40,32,1.6,620.80
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",5,42500,1488,3.50,18.90,34,1.8,642.60
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",6,39800,1393,3.50,19.30,32,2.0,617.60
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",7,43200,1512,3.50,18.70,35,2.2,654.50
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",8,41500,1453,3.50,19.00,33,2.4,627.00
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",9,44100,1544,3.50,18.60,35,2.6,651.00
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",10,42300,1481,3.50,18.80,34,2.7,639.20
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",11,43800,1533,3.50,18.70,35,2.9,654.50
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",12,41200,1442,3.50,19.00,33,3.0,627.00
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",13,44500,1558,3.50,18.50,36,3.1,666.00
AD008,Whole30-Reset-Carousel,carousel,dietary_need,"Your Whole30 pantry in one click",14,42800,1498,3.50,18.80,34,3.2,639.20
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",1,29800,894,3.00,25.80,18,1.0,464.40
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",2,31200,936,3.00,25.50,19,1.2,484.50
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",3,32800,984,3.00,25.10,20,1.4,502.00
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",4,30500,915,3.00,25.60,19,1.6,486.40
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",5,33100,993,3.00,25.00,20,1.8,500.00
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",6,31800,954,3.00,25.30,19,2.0,480.70
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",7,34200,1026,3.00,24.70,21,2.2,518.70
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",8,32500,975,3.00,25.10,20,2.3,502.00
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",9,33800,1014,3.00,24.80,21,2.5,520.80
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",10,31900,957,3.00,25.20,19,2.7,478.80
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",11,34500,1035,3.00,24.60,21,2.8,516.60
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",12,32200,966,3.00,25.00,20,3.0,500.00
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",13,35000,1050,3.00,24.50,21,3.1,514.50
AD009,Zero-Waste-Kitchen-UGC,UGC,sustainability,"Zero waste doesn't mean zero flavor",14,33100,993,3.00,24.80,20,3.2,496.00
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",1,52100,1563,3.00,16.80,42,1.0,705.60
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",2,54800,1644,3.00,16.50,44,1.3,726.00
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",3,57200,1716,3.00,16.20,46,1.5,745.20
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",4,55900,1677,3.00,16.30,45,1.7,733.50
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",5,58400,1752,3.00,16.10,47,1.9,756.70
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",6,56800,1704,3.00,16.20,46,2.1,745.20
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",7,59100,1773,3.00,16.00,48,2.3,768.00
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",8,57500,1725,3.00,16.10,47,2.5,756.70
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",9,60200,1806,3.00,15.90,49,2.6,779.10
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",10,58100,1743,3.00,16.00,48,2.8,768.00
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",11,61500,1845,3.00,15.80,50,3.0,790.00
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",12,59200,1776,3.00,15.90,49,3.1,779.10
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",13,62100,1863,3.00,15.70,51,3.2,800.70
AD010,First-Order-Free-Shipping-Static,static,value_seeker,"Free shipping on your first order — no minimum",14,60400,1812,3.00,15.80,50,3.3,790.00
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",1,48200,1687,3.50,17.20,40,1.0,688.00
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",2,50100,1754,3.50,16.80,42,1.2,705.60
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",3,52800,1901,3.60,16.20,45,1.4,729.00
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",4,51400,1850,3.60,16.40,44,1.6,721.60
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",5,54100,1947,3.60,16.00,46,1.8,736.00
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",6,52500,1890,3.60,16.20,45,2.0,729.00
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",7,55800,2009,3.60,15.80,47,2.2,742.60
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",8,53200,1915,3.60,16.10,45,2.4,724.50
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",9,56500,2034,3.60,15.70,48,2.6,753.60
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",10,54100,1948,3.60,15.90,46,2.7,731.40
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",11,57200,2059,3.60,15.60,48,2.9,748.80
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",12,55500,1998,3.60,15.80,47,3.0,742.60
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",13,58100,2092,3.60,15.50,49,3.1,759.50
AD011,Postpartum-Nutrition-Video,video,dietary_need,"Nourishing your body after baby",14,56200,2023,3.60,15.70,48,3.2,753.60
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",1,44800,1344,3.00,21.20,28,1.0,593.60
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",2,46500,1395,3.00,20.80,29,1.3,603.20
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",3,48200,1446,3.00,20.50,30,1.5,615.00
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",4,45800,1374,3.00,20.90,29,1.7,606.10
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",5,49100,1473,3.00,20.30,31,1.9,629.30
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",6,47200,1416,3.00,20.60,30,2.1,618.00
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",7,46800,1310,2.80,21.80,28,2.4,610.40
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",8,48500,1310,2.70,22.50,26,2.7,585.00
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",9,45200,1175,2.60,23.40,24,3.0,561.60
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",10,47800,1195,2.50,24.20,22,3.2,532.40
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",11,44100,1058,2.40,25.50,20,3.5,510.00
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",12,46500,1023,2.20,26.80,18,3.7,482.40
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",13,43800,920,2.10,28.30,16,3.9,452.80
AD012,Membership-vs-Retail-Carousel,carousel,value_seeker,"Thrive vs. Whole Foods: same brands half the price",14,45200,904,2.00,29.50,14,4.1,413.00
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",1,36200,1086,3.00,22.30,24,1.0,535.20
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",2,37800,1134,3.00,22.00,25,1.2,550.00
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",3,39500,1185,3.00,21.70,26,1.4,564.20
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",4,37100,1113,3.00,22.10,25,1.6,552.50
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",5,40200,1206,3.00,21.50,27,1.8,580.50
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",6,38500,1155,3.00,21.80,26,2.0,566.80
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",7,41200,1236,3.00,21.40,27,2.2,578.80
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",8,39100,1173,3.00,21.70,26,2.3,564.20
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",9,40800,1224,3.00,21.50,27,2.5,580.50
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",10,38200,1146,3.00,21.80,25,2.7,545.00
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",11,41500,1245,3.00,21.30,27,2.8,575.10
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",12,39500,1185,3.00,21.60,26,3.0,561.60
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",13,42100,1263,3.00,21.20,28,3.1,593.60
AD013,Gut-Health-Bundle-Static,static,dietary_need,"Your gut microbiome called — it wants better",14,40200,1206,3.00,21.50,27,3.2,580.50
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",1,58200,2037,3.50,14.80,55,1.0,814.00
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",2,61500,2153,3.50,14.50,58,1.3,841.00
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",3,64800,2333,3.60,14.00,62,1.5,868.00
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",4,63100,2272,3.60,14.10,61,1.7,859.10
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",5,66200,2383,3.60,13.80,64,1.9,883.20
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",6,64500,2322,3.60,14.00,62,2.1,868.00
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",7,67800,2441,3.60,13.70,65,2.3,890.50
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",8,65200,2348,3.60,13.90,63,2.5,875.70
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",9,68500,2466,3.60,13.60,66,2.7,897.60
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",10,66100,2380,3.60,13.80,64,2.8,883.20
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",11,69200,2492,3.60,13.50,67,3.0,904.50
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",12,67500,2430,3.60,13.70,66,3.1,904.20
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",13,70100,2524,3.60,13.40,68,3.2,911.20
AD014,Influencer-Unboxing-UGC,UGC,value_seeker,"@cleanfoodjenna unboxes her Thrive haul",14,68200,2455,3.60,13.60,67,3.3,911.20
