ticket_id,created_date,reason_for_contact,sub_reason,member_message,resolution_status,channel,CSAT_score,handle_time_minutes,agent_name
TKT-4457,2026-04-13,Membership,Auto-renewal surprise,"Got the renewal email only 3 days before being charged. That's not enough time. I opened it planning to cancel but by the time I got around to it the next day, I was already charged.",resolved,chat,2,8,Grace Villanueva
TKT-4458,2026-04-13,Product Quality,Wrong item,"Ordered almond butter, received peanut butter. My son is allergic to peanuts. This is a serious issue — what if he had eaten it without checking?",resolved,phone,1,12,Sarah Chen
TKT-4459,2026-04-13,Returns,Refund timing,"Returned items on March 28 via the prepaid label. USPS shows it was delivered to your returns center April 2. Still no refund as of today (April 13). That's 11 days since you received it.",open,email,2,5,Kevin Santos
TKT-4460,2026-04-13,Other,Subscription question,"How do I skip my next subscription delivery? I can't find the option anywhere in my account. The app and website both seem different from the instructions you emailed me.",resolved,chat,5,4,David Thompson
TKT-4461,2026-04-13,Billing,Duplicate charge,"There are two pending charges on my card for $52.18 from April 11. I only placed one order. Is one of them just a hold?",resolved,chat,4,7,Marcus Rivera
TKT-4462,2026-04-13,Product Quality,Frozen items thawed,"I'm at 3 out of my last 4 frozen orders arriving thawed. At this point I've given up on ordering frozen from Thrive. Just want a refund for this latest one.",resolved,email,2,5,Patricia Lim
TKT-4463,2026-04-14,Shipping,Late delivery,"Ordered April 3 and it's April 14. 11 days. The tracking number doesn't even work anymore — just says 'not found' when I look it up.",open,chat,1,9,Tyler Brooks
TKT-4464,2026-04-14,Billing,Promo code not working,"FREESHIP code is 'applied' according to the green checkmark but my shipping charge didn't change. Still showing $5.95. Cart total is $52 which is over the $49 minimum.",resolved,chat,3,8,Priya Patel
TKT-4465,2026-04-14,Product Quality,Frozen items thawed,"Just got my first frozen order from Thrive and everything is thawed. Frozen berries are juice. Frozen pizza is floppy. Not a great first impression for a new member.",resolved,chat,2,7,Ashley Nguyen
TKT-4466,2026-04-14,Membership,Cancellation request,"Cancelling because I moved abroad and you don't ship internationally. Can I get a pro-rated refund for the remaining 7 months of my annual membership?",resolved,email,5,4,Sofia Ramirez
TKT-4467,2026-04-14,Returns,Return label issue,"The return label you emailed me shows the wrong return address. It's going to some random warehouse in Nevada instead of your returns center.",resolved,chat,3,8,Carmen Reyes
TKT-4468,2026-04-14,Website Bug,Account page error,"My order history page is showing someone else's orders. I can see orders with a different name and address. This is a privacy issue.",open,phone,1,15,Sarah Chen
TKT-4469,2026-04-14,Product Quality,Spoiled item,"Received organic chicken broth that's past its expiration date. Best by date was March 20, 2026. My order arrived April 10.",resolved,email,3,4,Jose Garcia
TKT-4470,2026-04-14,Billing,Promo code not working,"I'm trying to stack SPRING25 and FREESHIP but when I add the second code it removes the first one. Your FAQ says promo stacking is supported now.",resolved,chat,3,9,Marcus Rivera
TKT-4471,2026-04-14,Shipping,Package not received,"Package shows delivered to my address at 11:30 AM. I have a Ring camera and there's no footage of any delivery. FedEx left it at the wrong house.",resolved,chat,3,9,David Thompson
TKT-4472,2026-04-14,Membership,Auto-renewal surprise,"I specifically remember cancelling. I went through the whole process and clicked confirm. But I just got charged $12 again. Something is broken with your cancellation system.",resolved,phone,1,13,Isabella Moreno
TKT-4473,2026-04-14,Product Quality,Frozen items thawed,"Frozen wild-caught shrimp arrived thawed and smelling fishy. I opened the bag to check and it's clearly been thawed for a while. This is a food safety issue.",resolved,chat,1,8,Carmen Reyes
TKT-4474,2026-04-14,Other,Account access,"My account shows a different email address than the one I signed up with. I didn't change it. Did someone hack my account?",open,phone,2,12,Sarah Chen
TKT-4475,2026-04-14,Billing,Overcharge,"My order total at checkout was $43.17 but my card was charged $48.12. Where did the extra $4.95 come from?",resolved,chat,3,7,Priya Patel
TKT-4476,2026-04-07,Shipping,Late delivery,"Two weeks waiting for my order. TWO WEEKS. This is supposed to be 3-7 days. I'm seriously considering cancelling my membership over this.",open,email,1,5,Lucia Fernandez
TKT-4477,2026-04-07,Product Quality,Frozen items thawed,"Frozen organic peas arrived thawed and sitting in water inside the bag. Also the frozen mac and cheese was room temperature. This is from my very first frozen order with Thrive.",resolved,chat,2,7,Rafael Cruz
TKT-4478,2026-04-07,Billing,Promo code not working,"My friend gave me her referral code and it won't apply. She also tried THRIVEMORE and it's not working for her either. She's been a member since 2022.",resolved,email,3,6,Kevin Santos
TKT-4479,2026-04-08,Membership,Auto-renewal surprise,"Saw a charge for $60 from Thrive Market. I only signed up for the free trial to see if I liked it. I never got a clear warning it would auto-renew at $60.",resolved,chat,2,9,Grace Villanueva
TKT-4480,2026-04-08,Product Quality,Frozen items thawed,"The frozen fruit bars I ordered were melted and then refrozen — you can tell because the shape is all wrong and the coating is cracked. Clearly a cold chain issue.",resolved,chat,2,7,Tyler Brooks
TKT-4481,2026-04-08,Shipping,Damaged in transit,"Half my order arrived crushed. The box was ripped on one side and items were falling out of the hole.",resolved,email,3,5,Ana Reyes
TKT-4482,2026-04-08,Returns,Return process unclear,"I received a duplicate shipment of the same order. I want to return the extra one. Do I need to pay for return shipping?",resolved,chat,5,5,Ashley Nguyen
TKT-4483,2026-04-09,Billing,Promo code not working,"THRIVEMORE gives me 'this promotional code is not valid for your account.' I've been a loyal member for 3 years. Are you excluding existing members from frozen deals?",resolved,phone,2,9,Carlos Herrera
TKT-4484,2026-04-09,Product Quality,Frozen items thawed,"Three bags of frozen vegetables thawed. This is the third complaint I'm filing about frozen items this month. Please escalate this to management.",resolved,chat,1,10,Sarah Chen
TKT-4485,2026-04-09,Shipping,Late delivery,"My order shipped April 1 and it's April 9. Tracking shows it's been sitting at a FedEx facility in Memphis for 5 days.",open,chat,2,8,Marcus Rivera
TKT-4486,2026-04-09,Website Bug,Checkout error,"I placed my order, got a confirmation page, but no confirmation email. And the order doesn't show up in my account. Was I charged?",resolved,chat,2,11,Jennifer Park
TKT-4487,2026-04-10,Membership,Auto-renewal surprise,"Just discovered I've been charged $12/month for 6 months and never used the membership. Not once. Can I get all 6 months refunded?",resolved,phone,2,14,Isabella Moreno
TKT-4488,2026-04-10,Product Quality,Frozen items thawed,"Frozen breakfast burritos thawed. Frozen smoothie bowls thawed. I'm in California and it seems like every frozen order from the West Coast is affected.",resolved,email,2,5,Mei Lin Tan
TKT-4489,2026-04-10,Billing,Promo code not working,"FREESHIP applied at checkout but when I look at my order confirmation email the shipping charge is still there. Was I charged for shipping or not?",resolved,chat,3,7,David Thompson
TKT-4490,2026-04-10,Other,Product recommendation,"Looking for keto-friendly snack recommendations. Your website filter for keto doesn't seem very comprehensive. Am I missing something?",resolved,chat,5,5,Rafael Cruz
TKT-4491,2026-04-10,Shipping,Wrong item delivered,"Received someone else's entire order. None of these items are mine. My name isn't even on the packing slip.",resolved,phone,3,9,Carmen Reyes
TKT-4492,2026-04-11,Billing,Promo code not working,"I applied SPRING25 to my first order but the discount is only 20%, not 25%. It took 20% off instead of 25%. Math doesn't match the promo name.",resolved,chat,3,7,Priya Patel
TKT-4493,2026-04-11,Product Quality,Frozen items thawed,"My frozen gluten-free waffles arrived thawed. The dry ice in the package was maybe a quarter of what it should be. Tiny piece. Of course everything thawed.",resolved,chat,2,7,Grace Villanueva
TKT-4494,2026-04-11,Membership,Cancellation request,"I want to cancel. Between the promo codes never working and the frozen items always arriving thawed, I'm done. Nothing against your team but the experience has been terrible.",resolved,phone,2,15,Sarah Chen
TKT-4495,2026-04-11,Returns,Refund timing,"It's been 15 business days since my return was delivered to your warehouse and I still haven't received my refund. Your policy says 3-5 days.",open,email,1,5,Sofia Ramirez
TKT-4496,2026-04-11,Website Bug,Checkout error,"White screen of death when I hit checkout. Been happening for 3 days. Tried Chrome, Safari, and Firefox. Same result.",open,chat,1,10,Jennifer Park
TKT-4497,2026-04-12,Product Quality,Frozen items thawed,"Frozen salmon fillets arrived thawed and discolored. I paid premium for wild-caught and it arrives looking like it's been sitting on a counter all day.",resolved,chat,1,8,Tyler Brooks
TKT-4498,2026-04-12,Billing,Promo code not working,"Your Instagram ad has a promo code THRIVE30 that I can't find anywhere in the app. Is this real? When I type it in it says 'code not found'.",resolved,chat,4,5,Ashley Nguyen
TKT-4499,2026-04-12,Shipping,Late delivery,"My subscribe-and-save order was supposed to arrive April 5. It's April 12 and it hasn't even shipped yet. What's the point of subscribing if it doesn't ship on time?",open,email,2,5,Jose Garcia
TKT-4500,2026-04-12,Membership,Auto-renewal surprise,"Got the renewal reminder email on April 9 and was charged on April 12. 3 days notice for a $60 charge is not cool. Your old email used to come a week before.",resolved,chat,3,7,Marcus Rivera
TKT-4501,2026-04-13,Product Quality,Spoiled item,"Opened my almond milk and it smelled sour even though the expiration is next month. The carton was slightly bulging too.",resolved,chat,3,6,David Thompson
TKT-4502,2026-04-13,Shipping,Package not received,"USPS says delivered but nothing at my door. I live in an apartment building and packages often get stolen from the lobby. Can you reship?",resolved,chat,3,8,Carmen Reyes
TKT-4503,2026-04-13,Product Quality,Frozen items thawed,"I ordered the frozen family meal pack — 6 items, all thawed. $67 worth of food I have to throw away. This is the worst online shopping experience I've had.",resolved,phone,1,11,Isabella Moreno
TKT-4504,2026-04-13,Other,Allergen concern,"Does your Thrive Market brand chocolate contain soy lecithin? I have a soy allergy and the product page doesn't list full ingredients.",open,email,4,5,Kevin Santos
TKT-4505,2026-04-13,Billing,Overcharge,"I used a $15 credit but my total didn't change. It should have gone from $62 to $47 but I was charged the full $62.",resolved,chat,2,9,Priya Patel
TKT-4506,2026-04-13,Website Bug,Search not working,"I search for 'organic pasta' and get zero results. But if I browse the pasta category manually I can see dozens of organic options. Your search is broken.",resolved,chat,3,6,Jennifer Park
TKT-4507,2026-04-14,Product Quality,Frozen items thawed,"My frozen organic chicken nuggets were completely thawed and warm. I live in San Diego. I think your West Coast frozen carrier is the problem here.",resolved,chat,2,7,Sarah Chen
TKT-4508,2026-04-14,Billing,Promo code not working,"I have a screenshot of the email you sent with THRIVEMORE code. Pasting it exactly. Still invalid. This is false advertising if the code doesn't actually work.",resolved,email,1,5,Lucia Fernandez
TKT-4509,2026-04-14,Shipping,Late delivery,"It's day 9 and my order is still sitting in a warehouse in California according to tracking. I'm in Arizona. How does it take 9 days to go one state over?",open,chat,2,7,Tyler Brooks
TKT-4510,2026-04-14,Membership,Cancellation request,"Cancel my membership effective immediately. Don't try to offer me anything. I've had 4 bad experiences in a row and I'm done.",resolved,chat,3,6,Grace Villanueva
TKT-4511,2026-04-07,Shipping,Late delivery,"Placed my order March 29 and it's April 7. Still no delivery. Support told me last week it would arrive by Friday and it didn't.",open,email,1,5,Sofia Ramirez
TKT-4512,2026-04-07,Other,Subscription question,"I want to change the frequency of my coffee subscription from every 2 weeks to every 4 weeks. Can't figure out how to do it on the website.",resolved,chat,5,4,Ashley Nguyen
TKT-4513,2026-04-08,Product Quality,Damaged packaging,"My order of olive oils came with one bottle cracked and leaking. The other two are fine but covered in oil from the broken one.",resolved,email,3,5,Jose Garcia
TKT-4514,2026-04-08,Billing,Promo code not working,"Code THRIVEMORE — invalid. My account is from 2022. Please check if there's an account age cutoff blocking the code.",resolved,chat,2,8,Carmen Reyes
TKT-4515,2026-04-08,Shipping,Package not received,"My neighbors found my package 4 houses down. It was left in their bushes. The address label had the right address. FedEx driver just can't read apparently.",resolved,chat,4,5,Marcus Rivera
TKT-4516,2026-04-09,Membership,Auto-renewal surprise,"Charged $60 for annual renewal. The new email design is confusing — I saw it but thought it was a marketing email, not a renewal notice. It looks like an ad.",resolved,chat,3,8,David Thompson
TKT-4517,2026-04-09,Product Quality,Wrong item,"Ordered sugar-free granola bars, received regular ones. I'm diabetic and can't eat these. This could be a health issue.",resolved,phone,2,10,Sarah Chen
TKT-4518,2026-04-09,Returns,Return process unclear,"Do I need to return expired products? I have 3 items from my last order that were past expiration on arrival.",resolved,chat,4,5,Tyler Brooks
TKT-4519,2026-04-10,Billing,Promo code not working,"THRIVEMORE just spins and then says error. Tried it 4 times. My internet is fine — every other website works.",resolved,chat,2,7,Rafael Cruz
TKT-4520,2026-04-10,Other,Product recommendation,"I'm trying to switch to all-organic household cleaning products. What do you recommend from your selection? Your categories are a bit confusing to navigate.",resolved,chat,5,8,Priya Patel
TKT-4521,2026-04-10,Shipping,Damaged in transit,"My glass jar of tahini arrived cracked and half empty. It leaked onto my other groceries. The packaging had zero bubble wrap or protection for the glass.",resolved,email,3,5,Ana Reyes
TKT-4522,2026-04-10,Membership,Billing confusion,"I see two different membership charges — $12 on March 1 and $60 on March 15. Was I double-charged? It looks like I'm on both monthly and annual.",resolved,phone,2,11,Isabella Moreno
TKT-4523,2026-04-11,Product Quality,Frozen items thawed,"Another thawed frozen order. Frozen corn, frozen spinach, and frozen berries — all warm. I'm done ordering frozen from Thrive until you fix this.",resolved,chat,2,7,Carmen Reyes
TKT-4524,2026-04-11,Billing,Promo code not working,"Neither THRIVEMORE nor FREESHIP is working for me. THRIVEMORE says invalid, FREESHIP says applied but doesn't change the total. I give up.",resolved,chat,1,10,Grace Villanueva
TKT-4525,2026-04-11,Shipping,Late delivery,"My subscription order is 6 days late. I subscribe specifically so I don't run out of staples. Now I have to go to the grocery store anyway, which defeats the purpose.",open,chat,3,6,David Thompson
TKT-4526,2026-04-12,Product Quality,Frozen items thawed,"Frozen açaí packets arrived as liquid. I'm in Portland, OR. Every frozen order to the Pacific Northwest seems to have this problem.",resolved,email,2,5,Mei Lin Tan
TKT-4527,2026-04-12,Membership,Cancellation request,"I love Thrive's mission but I can't justify the membership fee anymore since I'm buying less. Can I pause instead of fully cancelling?",resolved,chat,5,7,Marcus Rivera
TKT-4528,2026-04-12,Returns,Refund timing,"Where is my $34 refund? It's been 2 weeks since I returned the items. I can see the return was received based on the tracking. Getting really frustrated.",open,email,2,5,Kevin Santos
TKT-4529,2026-04-12,Website Bug,Checkout error,"Checkout is completely broken. I've been trying every day for 4 days. White screen, frozen loading, or just nothing happens. I'm about to cancel my membership because I literally can't place orders.",open,chat,1,12,Jennifer Park
TKT-4530,2026-04-13,Billing,Promo code not working,"The THRIVEMORE code your customer service rep told me to use last week still doesn't work. She said it would be fixed by today. It's not.",resolved,phone,1,10,Carlos Herrera
TKT-4531,2026-04-13,Product Quality,Frozen items thawed,"Frozen organic berries soup. That's what I got. Berry soup. Because they were thawed into mush. Along with my frozen waffles which were just sad floppy discs.",resolved,chat,2,7,Ashley Nguyen
TKT-4532,2026-04-13,Shipping,Late delivery,"Subscribe-and-save order 10 days late. Third month in a row it's been late. Is this a recurring problem or am I just unlucky?",open,email,2,5,Jose Garcia
TKT-4533,2026-04-14,Billing,Promo code not working,"I signed up as a new member today SPECIFICALLY because of the SPRING25 code. Now it says I don't qualify. If you don't honor this I'm requesting a full membership refund.",resolved,chat,2,10,Tyler Brooks
TKT-4534,2026-04-14,Product Quality,Frozen items thawed,"Frozen turkey burgers thawed. Frozen mixed vegetables thawed. But interestingly the frozen fruit was still partially frozen — so some items are worse than others.",resolved,chat,3,7,David Thompson
TKT-4535,2026-04-14,Membership,Auto-renewal surprise,"Annual renewal hit my card 3 days after the email. I tried to cancel on the second day after getting the email but there was no obvious cancel button on the membership page. I had to dig through settings.",resolved,chat,2,9,Priya Patel
TKT-4536,2026-04-07,Other,Account access,"I moved and changed my email. Now I can't access my account because 2FA goes to the old email address.",resolved,phone,3,11,Sarah Chen
TKT-4537,2026-04-08,Product Quality,Spoiled item,"Organic eggs arrived with 2 cracked and the rest sitting in egg yolk. The carton was not properly secured in the box.",resolved,email,3,5,Valentina Torres
TKT-4538,2026-04-09,Shipping,Damaged in transit,"My entire order smells like the fish sauce bottle that shattered inside the box. Everything is contaminated. Even the sealed items smell.",resolved,chat,2,8,Marcus Rivera
TKT-4539,2026-04-10,Billing,Duplicate charge,"I'm seeing three charges from Thrive this month: $47.22, $47.22, and $12.00. The first two look like duplicates. The $12 is my membership.",resolved,phone,2,11,Isabella Moreno
TKT-4540,2026-04-11,Product Quality,Frozen items thawed,"This makes 5 thawed frozen orders for me in the past month. FIVE. I keep getting refunds but I want the actual food to arrive frozen. What is going on with ColdPack?",resolved,chat,1,9,Carmen Reyes
TKT-4541,2026-04-12,Website Bug,Account page error,"My saved payment method is showing the full card number — not masked. I can see all 16 digits. This has to be a security issue.",open,phone,1,14,Sarah Chen
TKT-4542,2026-04-12,Shipping,Late delivery,"My birthday gift order for my mom was supposed to arrive April 8. It's April 12 and her birthday was yesterday. Totally missed it.",open,chat,1,8,Grace Villanueva
TKT-4543,2026-04-13,Billing,Promo code not working,"FREESHIP is applied but tax calculation changed. Before applying the code my total was $53.12 with tax. After applying FREESHIP my total is $53.12 with shipping removed but tax increased. Net savings: $0.",resolved,chat,3,9,Tyler Brooks
TKT-4544,2026-04-13,Product Quality,Frozen items thawed,"This is getting absurd. Thawed frozen items for the 3rd order in a row. I'm in Seattle. Switching to Imperfect Foods for frozen — they've never sent me thawed items.",resolved,email,1,5,Patricia Lim
