alert_id,timestamp,service_name,alert_type,severity,duration_minutes,resolved_by,resolution_action,on_call_engineer,related_incident_id
ALT-0069,2026-03-28T11:02:00Z,shipping-calculator,disk,P4,15,manual,Old snapshots pruned,Alex Rivera,
ALT-0070,2026-03-28T11:16:23Z,membership-api,cpu,P2,49,auto,Manual scaling applied,,
ALT-0071,2026-03-28T11:34:00Z,user-profile-service,memory,P4,12,escalated,Memory leak patched,Sam Nguyen,
ALT-0072,2026-03-28T11:36:00Z,user-profile-service,cpu,P3,105,escalated,Pods auto-scaled,Alex Rivera,
ALT-0073,2026-03-28T11:43:00Z,inventory-api,disk,P3,32,auto,Volume expanded,,
ALT-0074,2026-03-28T14:05:21Z,product-ingestion,memory,P3,3,auto,Cache flushed,,
ALT-0075,2026-03-28T21:13:31Z,order-service,memory,P3,203,escalated,JVM heap increased,Marcus Chen,
ALT-0076,2026-03-29T02:43:23Z,fulfillment-router,error_rate,P3,18,escalated,Upstream service recovered,Priya Patel,
ALT-0077,2026-03-29T07:54:18Z,notification-service,latency,P4,4,auto,Slow query killed,,
ALT-0078,2026-03-29T16:44:28Z,inventory-api,memory,P4,141,auto,OOM-killed pod replaced by scheduler,,
ALT-0079,2026-03-29T18:52:13Z,notification-service,connection_pool,P4,55,auto,Idle connections reaped,,
ALT-0080,2026-03-29T20:00:15Z,order-service,error_rate,P2,13,escalated,Rate limiting applied,Jordan Kim,
ALT-0081,2026-03-29T20:13:42Z,notification-service,disk,P4,2,auto,Temp files cleaned,,
ALT-0082,2026-03-30T04:27:43Z,product-ingestion,cpu,P4,8,auto,Traffic shifted to healthy instances,,
ALT-0083,2026-03-30T09:52:34Z,product-ingestion,disk,P4,2,auto,Volume expanded,,
ALT-0084,2026-03-30T13:55:15Z,catalog-search,cpu,P3,19,escalated,Runaway process killed,Sam Nguyen,
ALT-0085,2026-03-30T14:39:29Z,product-ingestion,disk,P4,64,auto,Volume expanded,,
ALT-0086,2026-03-30T21:20:36Z,notification-service,memory,P4,3,auto,OOM-killed pod replaced by scheduler,,
ALT-0087,2026-03-30T21:26:25Z,recommendation-engine,error_rate,P2,111,manual,Upstream service recovered,Taylor Brooks,INC-2026-009
ALT-0088,2026-03-30T22:39:53Z,order-service,latency,P3,103,manual,Upstream dependency recovered,Priya Patel,
ALT-0089,2026-03-31T02:24:06Z,fraud-detection,cpu,P4,16,manual,Traffic shifted to healthy instances,Sam Nguyen,
ALT-0090,2026-03-31T07:58:07Z,catalog-search,cpu,P4,264,escalated,Pods auto-scaled,Sam Nguyen,
ALT-0091,2026-03-31T11:50:33Z,membership-api,disk,P3,87,manual,Archive job run manually,Alex Rivera,
ALT-0092,2026-03-31T13:23:43Z,payment-gateway,latency,P4,196,auto,CDN cache warmed,,
ALT-0093,2026-03-31T23:02:36Z,notification-service,disk,P3,1,auto,Log rotation triggered,,
ALT-0094,2026-04-01T01:39:53Z,membership-api,memory,P2,61,escalated,OOM-killed pod replaced by scheduler,Alex Rivera,
ALT-0095,2026-04-01T02:18:56Z,billing-service,error_rate,P3,16,auto,Upstream service recovered,,
ALT-0096,2026-04-01T14:05:00Z,catalog-search,cpu,P3,28,manual,Waited for batch job to complete,Marcus Chen,
ALT-0097,2026-04-01T14:17:00Z,order-service,memory,P3,5,auto,JVM heap increased,,
ALT-0098,2026-04-01T14:17:00Z,product-ingestion,memory,P3,5,auto,JVM heap increased,,
ALT-0099,2026-04-01T14:34:00Z,order-service,latency,P3,4,auto,CDN cache warmed,,
ALT-0100,2026-04-01T14:38:00Z,catalog-search,cpu,P4,233,auto,Waited for batch job to complete,,
ALT-0101,2026-04-01T18:42:36Z,notification-service,connection_pool,P4,177,auto,Slow queries killed,,
ALT-0102,2026-04-01T18:52:06Z,order-service,latency,P3,19,escalated,Upstream dependency recovered,Taylor Brooks,
ALT-0103,2026-04-02T01:57:29Z,user-auth,error_rate,P4,21,escalated,Feature flag toggled off,Alex Rivera,
ALT-0104,2026-04-02T03:24:44Z,recommendation-engine,cpu,P3,52,manual,Manual scaling applied,Taylor Brooks,
ALT-0105,2026-04-02T07:54:12Z,recommendation-engine,latency,P3,102,auto,Slow query killed,,
ALT-0106,2026-04-02T10:13:34Z,billing-service,error_rate,P1,72,manual,Rate limiting applied,Taylor Brooks,
ALT-0107,2026-04-02T13:10:21Z,product-ingestion,cpu,P3,53,auto,Waited for batch job to complete,,
ALT-0108,2026-04-02T16:08:02Z,fraud-detection,connection_pool,P1,6,manual,Connection timeout reduced,Sam Nguyen,INC-2026-010
ALT-0109,2026-04-02T18:45:16Z,notification-service,disk,P3,22,auto,Log rotation triggered,,
ALT-0110,2026-04-03T13:20:07Z,membership-api,error_rate,P3,26,auto,Upstream service recovered,,
ALT-0111,2026-04-03T13:30:35Z,inventory-api,cpu,P4,13,auto,Runaway process killed,,
ALT-0112,2026-04-03T14:27:24Z,warehouse-api,memory,P4,117,auto,Memory leak patched,,
ALT-0113,2026-04-04T00:29:36Z,notification-service,error_rate,P3,33,auto,Feature flag toggled off,,
ALT-0114,2026-04-04T03:18:16Z,warehouse-api,latency,P4,57,manual,Connection pool expanded,Marcus Chen,
ALT-0115,2026-04-04T05:15:51Z,catalog-search,latency,P3,118,auto,Slow query killed,,
ALT-0116,2026-04-04T05:39:31Z,user-auth,cpu,P4,9,auto,Waited for batch job to complete,,
ALT-0117,2026-04-04T06:51:47Z,billing-service,error_rate,P2,332,escalated,Feature flag toggled off,Marcus Chen,
ALT-0118,2026-04-04T10:08:00Z,shipping-calculator,cpu,P2,14,auto,Manual scaling applied,,INC-2026-012
ALT-0119,2026-04-04T10:17:00Z,shipping-calculator,error_rate,P3,77,auto,Feature flag toggled off,,
ALT-0120,2026-04-04T10:28:00Z,fulfillment-router,disk,P4,50,manual,Log rotation triggered,Alex Rivera,
ALT-0121,2026-04-04T10:34:00Z,user-profile-service,error_rate,P2,8,auto,Rate limiting applied,,
ALT-0122,2026-04-04T10:44:00Z,warehouse-api,disk,P3,12,escalated,Archive job run manually,Sam Nguyen,
ALT-0123,2026-04-04T10:44:00Z,shipping-calculator,memory,P3,4,auto,Memory leak patched,,
ALT-0124,2026-04-04T14:54:36Z,product-ingestion,memory,P4,2,auto,Memory leak patched,,
ALT-0125,2026-04-04T15:22:02Z,catalog-search,latency,P2,29,auto,Connection pool expanded,,
ALT-0126,2026-04-04T18:07:44Z,shipping-calculator,error_rate,P4,3,auto,Config fix deployed,,
ALT-0127,2026-04-04T22:22:02Z,billing-service,connection_pool,P4,99,manual,Idle connections reaped,Jordan Kim,
ALT-0128,2026-04-05T06:25:04Z,membership-api,cpu,P4,23,manual,Pods auto-scaled,Taylor Brooks,
ALT-0129,2026-04-05T07:01:04Z,user-auth,connection_pool,P4,7,auto,Slow queries killed,,
ALT-0130,2026-04-05T22:41:05Z,product-ingestion,latency,P4,4,auto,CDN cache warmed,,
ALT-0131,2026-04-06T05:16:00Z,billing-service,error_rate,P2,56,escalated,Rate limiting applied,Marcus Chen,
ALT-0132,2026-04-06T07:54:51Z,product-ingestion,cpu,P4,54,manual,Pods auto-scaled,Taylor Brooks,
ALT-0133,2026-04-06T14:21:20Z,user-profile-service,error_rate,P3,79,manual,Feature flag toggled off,Jordan Kim,
ALT-0134,2026-04-06T19:37:22Z,shipping-calculator,memory,P4,5,auto,JVM heap increased,,
ALT-0135,2026-04-06T21:39:14Z,inventory-api,disk,P4,1,auto,Temp files cleaned,,
ALT-0136,2026-04-08T00:15:40Z,user-auth,error_rate,P3,16,escalated,Bad deployment rolled back,Sam Nguyen,
ALT-0137,2026-04-08T00:39:05Z,inventory-api,memory,P3,8,escalated,JVM heap increased,Priya Patel,
ALT-0138,2026-04-08T01:21:18Z,billing-service,connection_pool,P3,9,escalated,Slow queries killed,Priya Patel,
ALT-0139,2026-04-08T04:34:33Z,notification-service,cpu,P4,14,auto,Traffic shifted to healthy instances,,
ALT-0140,2026-04-08T08:17:31Z,product-ingestion,latency,P4,2,auto,Upstream dependency recovered,,
ALT-0141,2026-04-08T09:37:32Z,user-profile-service,connection_pool,P3,67,manual,Service restarted,Alex Rivera,
ALT-0142,2026-04-08T15:40:00Z,order-service,connection_pool,P2,71,manual,Service restarted,Jordan Kim,
ALT-0143,2026-04-08T16:15:00Z,membership-api,error_rate,P1,105,manual,Upstream service recovered,Jordan Kim,INC-2026-004
ALT-0144,2026-04-08T19:44:49Z,inventory-api,cpu,P3,16,auto,Pods auto-scaled,,
ALT-0145,2026-04-08T22:23:25Z,notification-service,cpu,P4,13,manual,Manual scaling applied,Alex Rivera,
ALT-0146,2026-04-09T07:00:41Z,payment-gateway,latency,P4,45,manual,CDN cache warmed,Jordan Kim,
ALT-0147,2026-04-09T11:18:55Z,membership-api,latency,P4,13,escalated,Slow query killed,Alex Rivera,
ALT-0148,2026-04-09T16:30:00Z,fraud-detection,connection_pool,P1,295,escalated,Pool size increased,Alex Rivera,
ALT-0149,2026-04-09T19:07:34Z,notification-service,cpu,P4,7,escalated,Runaway process killed,Sam Nguyen,
ALT-0150,2026-04-10T09:51:47Z,notification-service,connection_pool,P4,1,auto,Idle connections reaped,,
ALT-0151,2026-04-10T11:04:00Z,product-ingestion,memory,P2,5,auto,Cache flushed,,
ALT-0152,2026-04-10T11:12:00Z,product-ingestion,disk,P4,4,auto,Log rotation triggered,,
ALT-0153,2026-04-10T11:44:00Z,notification-service,latency,P4,4,auto,Slow query killed,,
ALT-0154,2026-04-10T12:53:07Z,notification-service,latency,P3,5,auto,CDN cache warmed,,
ALT-0155,2026-04-10T17:30:02Z,fraud-detection,latency,P4,149,manual,Connection pool expanded,Jordan Kim,
ALT-0156,2026-04-10T19:33:39Z,warehouse-api,latency,P4,15,manual,Slow query killed,Marcus Chen,
ALT-0157,2026-04-11T05:03:59Z,payment-gateway,latency,P3,71,auto,Connection pool expanded,,
ALT-0158,2026-04-11T13:55:21Z,order-service,error_rate,P1,24,escalated,Upstream service recovered,Jordan Kim,INC-2026-001
ALT-0159,2026-04-11T16:15:38Z,user-profile-service,cpu,P4,360,manual,Pods auto-scaled,Taylor Brooks,
ALT-0160,2026-04-12T04:25:19Z,notification-service,connection_pool,P4,1,auto,Slow queries killed,,
ALT-0161,2026-04-12T08:11:16Z,notification-service,latency,P2,4,auto,Connection pool expanded,,INC-2026-007
ALT-0162,2026-04-12T14:15:00Z,shipping-calculator,cpu,P4,1,auto,Traffic shifted to healthy instances,,
ALT-0163,2026-04-12T14:19:01Z,fulfillment-router,latency,P2,19,manual,Connection pool expanded,Alex Rivera,
ALT-0164,2026-04-12T14:25:00Z,warehouse-api,disk,P4,5,auto,Volume expanded,,
ALT-0165,2026-04-12T14:33:00Z,membership-api,memory,P4,334,escalated,Pod restarted automatically,Marcus Chen,
ALT-0166,2026-04-12T14:35:00Z,user-auth,cpu,P2,9,auto,Waited for batch job to complete,,
ALT-0167,2026-04-12T14:45:00Z,payment-gateway,error_rate,P3,137,escalated,Feature flag toggled off,Jordan Kim,
ALT-0168,2026-04-12T16:54:32Z,order-service,cpu,P1,15,manual,Pods auto-scaled,Taylor Brooks,
ALT-0169,2026-04-12T17:32:42Z,catalog-search,error_rate,P3,92,manual,Upstream service recovered,Taylor Brooks,
ALT-0170,2026-04-12T17:46:36Z,user-auth,memory,P3,41,manual,Cache flushed,Priya Patel,
ALT-0171,2026-04-12T18:42:54Z,catalog-search,cpu,P4,80,manual,Manual scaling applied,Sam Nguyen,
ALT-0172,2026-04-12T23:31:01Z,shipping-calculator,disk,P4,9,auto,Temp files cleaned,,
ALT-0173,2026-04-13T01:55:16Z,shipping-calculator,connection_pool,P4,14,auto,Idle connections reaped,,
ALT-0174,2026-04-13T06:02:28Z,product-ingestion,disk,P4,4,auto,Archive job run manually,,
ALT-0175,2026-04-13T06:17:44Z,inventory-api,error_rate,P4,57,manual,Rate limiting applied,Sam Nguyen,
ALT-0176,2026-04-13T06:23:46Z,inventory-api,cpu,P4,8,escalated,Traffic shifted to healthy instances,Marcus Chen,
ALT-0177,2026-04-13T09:03:32Z,billing-service,memory,P4,26,manual,Pod restarted automatically,Sam Nguyen,
ALT-0178,2026-04-13T09:40:50Z,catalog-search,error_rate,P4,25,manual,Rate limiting applied,Jordan Kim,
ALT-0179,2026-04-13T11:21:14Z,notification-service,disk,P3,6,auto,Archive job run manually,,
ALT-0180,2026-04-13T13:01:07Z,product-ingestion,connection_pool,P2,4,auto,Connection timeout reduced,,INC-2026-011
ALT-0181,2026-04-13T15:43:11Z,warehouse-api,memory,P4,6,auto,Memory leak patched,,
ALT-0182,2026-04-13T23:13:01Z,product-ingestion,latency,P4,96,auto,CDN cache warmed,,
ALT-0183,2026-04-14T03:15:08Z,shipping-calculator,memory,P3,3,auto,Memory leak patched,,
ALT-0184,2026-04-14T04:07:57Z,catalog-search,error_rate,P4,19,manual,Feature flag toggled off,Priya Patel,
ALT-0185,2026-04-14T08:03:44Z,order-service,latency,P4,187,escalated,Connection pool expanded,Sam Nguyen,
ALT-0186,2026-04-14T09:03:42Z,order-service,latency,P3,116,manual,Connection pool expanded,Jordan Kim,
ALT-0187,2026-04-14T13:34:56Z,notification-service,cpu,P2,19,auto,Traffic shifted to healthy instances,,INC-2026-007
ALT-0188,2026-04-14T14:55:06Z,product-ingestion,connection_pool,P4,3,auto,Pool size increased,,
ALT-0189,2026-04-14T16:13:00Z,shipping-calculator,disk,P3,5,auto,Temp files cleaned,,
ALT-0190,2026-04-14T16:15:00Z,product-ingestion,cpu,P4,2,auto,Waited for batch job to complete,,
ALT-0191,2026-04-14T16:30:00Z,fulfillment-router,latency,P2,227,escalated,Connection pool expanded,Priya Patel,
ALT-0192,2026-04-14T16:31:00Z,fraud-detection,disk,P4,18,manual,Log rotation triggered,Alex Rivera,
ALT-0193,2026-04-14T16:38:00Z,product-ingestion,disk,P4,8,auto,Volume expanded,,
ALT-0194,2026-04-15T00:45:47Z,inventory-api,cpu,P3,3,auto,Waited for batch job to complete,,
ALT-0195,2026-04-15T08:40:40Z,inventory-api,cpu,P3,124,manual,Pods auto-scaled,Taylor Brooks,
ALT-0196,2026-04-15T09:02:16Z,product-ingestion,latency,P4,71,manual,Slow query killed,Taylor Brooks,
ALT-0197,2026-04-15T15:05:16Z,product-ingestion,disk,P3,4,auto,Temp files cleaned,,
ALT-0198,2026-04-15T18:51:52Z,membership-api,error_rate,P3,5,auto,Rate limiting applied,,
ALT-0199,2026-04-15T20:39:05Z,warehouse-api,cpu,P4,224,auto,Manual scaling applied,,
ALT-0200,2026-04-15T21:07:36Z,order-service,error_rate,P3,14,manual,Rate limiting applied,Alex Rivera,
