response_id,score,verbatim_comment,member_tenure_months,platform,date
NPS-031,7,"Solid selection but I wish the email recommendations were actually personalized. I'm vegan and you keep sending me beef jerky promotions.",22,web,2026-04-02
NPS-032,3,"Checkout freezes on mobile at least once a week. I have to close the app and start over. Lost items from my cart multiple times.",4,android,2026-04-03
NPS-033,9,"The price comparison feature is brilliant. Seeing Thrive vs. Whole Foods pricing right on the product page builds trust.",28,ios,2026-04-03
NPS-034,8,"Thrive's private label snacks are surprisingly good. Didn't expect house brand to compete with the premium stuff.",17,web,2026-04-04
NPS-035,2,"Delivery complaint #4. Package left in the rain, everything soaked. I'm paying for a premium membership and getting a budget experience.",11,ios,2026-04-04
NPS-036,6,"Fine for basics but your fresh/refrigerated options are terrible compared to what's available now. Amazon Fresh same-day has better fresh selection.",15,web,2026-04-05
NPS-037,10,"GLP-1 member here — I tell everyone on my Ozempic support group about Thrive. You guys are the best for high-protein, clean ingredient snacks.",2,ios,2026-04-05
NPS-038,4,"The Android app is borderline unusable. Scrolling is janky, images load slowly, and the filter panel is laggy. iOS gets all the love.",9,android,2026-04-06
NPS-039,8,"Been a member for 3 years. The product quality has only gotten better. Keep doing what you're doing.",36,web,2026-04-06
NPS-040,7,"Love Thrive but I always have to supplement with a local grocery run for fresh stuff. Would be amazing if you expanded into fresh produce delivery even in limited markets.",25,ios,2026-04-07
NPS-041,3,"I can manage everything about my life from my phone except my Thrive subscription. The subscription portal feels like it was built in 2015.",12,android,2026-04-07
NPS-042,9,"Your customer support is genuinely great. Had an issue with a damaged item and they replaced it plus sent a surprise gift. That kind of touch keeps me loyal.",20,web,2026-04-08
NPS-043,5,"Prices are creeping up. When I joined 2 years ago the savings vs. Whole Foods were clear. Now it's closer to even on many items.",24,ios,2026-04-08
NPS-044,10,"I'm a nutritionist and I recommend Thrive to all my clients. The dietary filtering makes it easy to send them specific product links.",31,web,2026-04-09
NPS-045,2,"Tried to browse on my phone yesterday — search took 8 seconds to return results. Closed the app and ordered on Amazon instead. You're losing me.",5,android,2026-04-09
NPS-046,8,"The Gluten-Free selection is the best I've found online. As a celiac, I feel safe shopping here.",19,ios,2026-04-10
NPS-047,6,"Wish there was a way to see what other people with my same diet are buying. Like a 'popular with Keto members' section.",14,web,2026-04-10
NPS-048,9,"Just used the referral program — my friend got a great deal and I got credits. Win-win. The product basically sells itself.",27,ios,2026-04-11
NPS-049,4,"The email I get every week has zero relevance to what I actually buy. It's the same generic 'top picks' that don't match my diet at all.",8,web,2026-04-11
NPS-050,7,"Solid 7 out of 10. Good selection, fair prices, room for improvement on mobile speed and personalization. I'll stick around.",18,android,2026-04-12
