event_name,week_start,weekly_unique_users,total_events,conversion_rate_to_next_step,wow_change_pct
wishlist_item_added,2026-02-24,15900,35100,0.23,1.9
wishlist_item_added,2026-03-03,16300,36200,0.23,2.5
wishlist_item_added,2026-03-10,16500,36800,0.23,1.2
wishlist_item_added,2026-03-17,16400,36500,0.22,-0.6
wishlist_item_added,2026-03-24,16900,37800,0.23,3.0
wishlist_item_added,2026-03-31,17200,38600,0.23,1.8
wishlist_item_added,2026-04-07,17500,39300,0.24,1.7
referral_link_shared,2026-02-17,4200,6800,0.12,0.5
referral_link_shared,2026-02-24,4300,7000,0.12,2.4
referral_link_shared,2026-03-03,4400,7200,0.13,2.3
referral_link_shared,2026-03-10,4500,7400,0.13,2.3
referral_link_shared,2026-03-17,4400,7200,0.12,-2.2
referral_link_shared,2026-03-24,4600,7600,0.13,4.5
referral_link_shared,2026-03-31,4700,7800,0.13,2.2
referral_link_shared,2026-04-07,4800,8000,0.13,2.1
member_support_ticket_opened,2026-02-17,2800,3100,1.00,0.8
member_support_ticket_opened,2026-02-24,2750,3050,1.00,-1.8
member_support_ticket_opened,2026-03-03,2700,2990,1.00,-1.8
member_support_ticket_opened,2026-03-10,2680,2970,1.00,-0.7
member_support_ticket_opened,2026-03-17,2720,3020,1.00,1.5
member_support_ticket_opened,2026-03-24,2760,3060,1.00,1.5
member_support_ticket_opened,2026-03-31,3100,3450,1.00,12.3
member_support_ticket_opened,2026-04-07,3050,3400,1.00,-1.6
email_recommendation_clicked,2026-02-17,8900,14200,0.08,0.3
email_recommendation_clicked,2026-02-24,9100,14600,0.08,2.2
email_recommendation_clicked,2026-03-03,9200,14800,0.08,1.1
email_recommendation_clicked,2026-03-10,9300,15000,0.08,1.1
email_recommendation_clicked,2026-03-17,9100,14700,0.08,-2.2
email_recommendation_clicked,2026-03-24,9400,15200,0.08,3.3
email_recommendation_clicked,2026-03-31,9500,15400,0.08,1.1
email_recommendation_clicked,2026-04-07,9600,15600,0.08,1.1
